target,best_state,best_Rdep,cs_spread,cs_rel_drop,cs_flag,n_slices_ident,Rdep_overall,Rdep_Rest,Rdep_Stim8hr,Rdep_Stim48hr
MED19,Stim8hr,0.1901,0.1052,0.5532,True,3,0.2037,0.102,0.1901,0.0849
MED24,Stim8hr,0.1988,0.1051,0.5288,True,3,0.1962,0.119,0.1988,0.0937
PMVK,Stim48hr,0.1159,0.1051,0.9069,False,3,0.0776,0.0108,0.0341,0.1159
MTREX,Stim8hr,0.194,0.1051,0.5418,True,3,0.2631,0.0889,0.194,0.0966
MTFR1,Rest,0.1494,0.1051,0.7032,False,2,0.0421,0.1494,0.0443,NA
COX5A,Stim48hr,0.1792,0.1048,0.585,True,3,0.1997,0.0744,0.0849,0.1792
MYBBP1A,Stim8hr,0.136,0.1044,0.7676,False,3,0.1914,0.0316,0.136,0.0919
HMGCS1,Rest,0.1741,0.1043,0.5994,True,2,0.2159,0.1741,NA,0.0697
NVL,Stim8hr,0.1039,0.1037,0.9978,False,2,0.1784,NA,0.1039,0.0002
NIFK,Rest,0.1509,0.1036,0.6867,True,3,0.2038,0.1509,0.0982,0.0473
NAA15,Stim8hr,0.1795,0.1034,0.5758,True,3,0.2746,0.1649,0.1795,0.0762
DNAJC2,Stim8hr,0.1337,0.103,0.7703,False,3,0.234,0.0307,0.1337,0.1331
NEPRO,Rest,0.1299,0.1028,0.7917,False,3,0.1764,0.1299,0.027,0.0631
CLCC1,Stim48hr,0.1334,0.1025,0.7685,False,2,0.0193,0.0309,NA,0.1334
ZDHHC5,Rest,0.1156,0.1025,0.8864,False,3,0.1327,0.1156,0.0849,0.0131
PAK1IP1,Rest,0.1685,0.1022,0.6068,True,3,0.248,0.1685,0.1056,0.0662
SURF6,Rest,0.2125,0.1022,0.4812,False,3,0.2861,0.2125,0.1146,0.1102
ESF1,Rest,0.1558,0.1021,0.6554,True,2,0.2502,0.1558,NA,0.0537
GUCD1,Stim48hr,0.1467,0.1019,0.6948,False,3,0.2204,0.0944,0.0448,0.1467
SETD2,Stim8hr,0.129,0.1013,0.7849,False,3,0.1409,0.1178,0.129,0.0277
KIF21B,Stim8hr,0.1805,0.1007,0.5576,True,3,0.2633,0.0881,0.1805,0.0799
REEP2,Rest,0.1237,0.1004,0.812,False,3,0.1653,0.1237,0.0233,0.0369
NFAT5,Rest,0.1188,0.1002,0.8437,False,2,0.0795,0.1188,0.0186,NA
KAT6A,Rest,0.107,0.1002,0.9361,False,3,0.0449,0.107,0.0135,0.0068
ADNP2,Rest,0.1471,0.1,0.6794,False,2,0.0589,0.1471,NA,0.0472
IMP4,Rest,0.2266,0.0999,0.4407,False,3,0.3027,0.2266,0.133,0.1267
CMPK1,Stim48hr,0.102,0.0998,0.9791,False,2,0.1585,0.0021,NA,0.102
ME3,Stim48hr,0.1288,0.0998,0.7748,False,3,0.1877,0.029,0.1022,0.1288
TRIAP1,Rest,0.1717,0.0998,0.5809,True,3,0.2697,0.1717,0.072,0.1352
ATP2A2,Rest,0.2443,0.0994,0.4069,False,3,0.2795,0.2443,0.2012,0.1449
NDUFB1,Stim8hr,0.1012,0.0993,0.9818,False,3,0.1318,0.0018,0.1012,0.0212
SAMD4B,Rest,0.1297,0.099,0.7636,False,3,0.1366,0.1297,0.1022,0.0307
TRIM32,Rest,0.1146,0.099,0.8635,False,3,0.1084,0.1146,0.0156,0.0209
CPSF7,Rest,0.1118,0.0987,0.883,False,2,0.1235,0.1118,0.0131,NA
DCPS,Stim48hr,0.1607,0.0986,0.6131,True,3,0.1815,0.072,0.0622,0.1607
CENPP,Stim8hr,0.1087,0.0984,0.9049,False,3,0.2184,0.0103,0.1087,0.1009
MEST,Rest,0.1253,0.0984,0.785,False,2,0.0595,0.1253,0.0269,NA
FDPS,Stim8hr,0.1205,0.0982,0.815,False,3,0.2127,0.0223,0.1205,0.0922
C1orf131,Stim8hr,0.1558,0.0982,0.6301,True,3,0.2014,0.0576,0.1558,0.088
ISCU,Stim8hr,0.1009,0.0977,0.9682,False,3,0.1818,0.0923,0.1009,0.0032
MTF2,Rest,0.1177,0.0976,0.8289,False,3,0.0944,0.1177,0.0201,0.0715
HSPE1-MOB4,Stim8hr,0.1492,0.0971,0.6509,False,3,0.2097,0.0699,0.1492,0.0521
CYB5R4,Stim8hr,0.1233,0.0971,0.7873,False,3,0.1109,0.0262,0.1233,0.0766
CHCHD3,Rest,0.1585,0.0965,0.6089,True,3,0.2262,0.1585,0.062,0.1182
NUFIP1,Stim8hr,0.1608,0.0965,0.6001,True,3,0.2176,0.0643,0.1608,0.0927
HABP4,Stim8hr,0.1421,0.0958,0.6744,False,2,0.171,NA,0.1421,0.0463
VMP1,Stim8hr,0.1055,0.0955,0.9051,False,2,0.1387,0.01,0.1055,NA
BRPF1,Stim8hr,0.1362,0.0951,0.6978,False,3,0.1654,0.1139,0.1362,0.0412
HYPK,Stim8hr,0.1238,0.0951,0.7682,False,2,0.2036,NA,0.1238,0.0287
EXOSC6,Rest,0.1051,0.095,0.904,False,3,0.1344,0.1051,0.0227,0.0101
SEMA4D,Stim8hr,0.106,0.0949,0.8946,False,3,0.156,0.0112,0.106,0.0122
OIP5,Rest,0.1486,0.0947,0.6374,False,2,0.1525,0.1486,0.0539,NA
NFYC,Stim48hr,0.1346,0.0946,0.7027,False,2,0.1893,NA,0.04,0.1346
EHMT2,Stim48hr,0.1471,0.0945,0.6428,False,3,0.1641,0.0525,0.1308,0.1471
CUX1,Rest,0.1001,0.0944,0.9428,False,3,0.0711,0.1001,0.0315,0.0057
ZBTB7A,Rest,0.104,0.0942,0.9057,False,2,NA,0.104,NA,0.0098
RIC1,Rest,0.1267,0.0941,0.7427,False,3,0.1947,0.1267,0.0326,0.098
TP53,Rest,0.2817,0.0941,0.3339,False,3,0.3185,0.2817,0.1876,0.2329
RPP30,Rest,0.1187,0.0938,0.7898,False,3,0.2445,0.1187,0.1059,0.025
NBEAL2,Stim48hr,0.1202,0.0935,0.7783,False,2,0.1129,NA,0.0266,0.1202
HIGD1A,Rest,0.1171,0.0933,0.7966,False,3,0.1578,0.1171,0.0238,0.0318
TNKS1BP1,Rest,0.1045,0.0931,0.8907,False,3,0.1545,0.1045,0.0667,0.0114
EIF2B1,Stim8hr,0.1711,0.0929,0.5431,True,2,0.2236,0.0782,0.1711,NA
EWSR1,Rest,0.1847,0.0925,0.5006,True,3,0.2272,0.1847,0.1347,0.0923
ORC4,Stim8hr,0.1935,0.0919,0.4749,False,3,0.2762,0.1138,0.1935,0.1016
SMG5,Rest,0.1513,0.0918,0.6068,True,3,0.2024,0.1513,0.0665,0.0595
TSEN54,Rest,0.1713,0.0918,0.5362,True,3,0.241,0.1713,0.1126,0.0794
EFR3A,Stim8hr,0.1184,0.0917,0.7744,False,3,0.1628,0.0455,0.1184,0.0267
WDR75,Stim8hr,0.1705,0.0909,0.5332,True,3,0.2358,0.0796,0.1705,0.0822
TMEM258,Stim48hr,0.101,0.0907,0.8985,False,3,0.1337,0.0103,0.0503,0.101
PALB2,Stim48hr,0.1443,0.0907,0.6282,False,2,0.1961,NA,0.0537,0.1443
TXNL4B,Rest,0.1161,0.0906,0.7805,False,3,0.1764,0.1161,0.0876,0.0255
FAM210A,Stim48hr,0.1064,0.0906,0.8515,False,3,0.1966,0.0675,0.0158,0.1064
TADA2B,Rest,0.2515,0.0904,0.3596,False,3,0.2838,0.2515,0.2303,0.161
CSNK1A1,Stim8hr,0.1409,0.0903,0.6407,False,3,0.2269,0.0899,0.1409,0.0506
AUTS2,Rest,0.1053,0.0903,0.8576,False,3,0.1077,0.1053,0.0958,0.015
RASAL3,Stim8hr,0.1183,0.0902,0.7623,False,3,0.103,0.0281,0.1183,0.0656
DDX1,Stim48hr,0.1774,0.09,0.5075,True,3,0.2502,0.0874,0.1456,0.1774
RPL39,Stim8hr,0.1578,0.0898,0.5689,True,3,0.2726,0.068,0.1578,0.1256
DOLPP1,Stim8hr,0.2547,0.0897,0.3524,False,3,0.2719,0.214,0.2547,0.1649
STAT2,Rest,0.0907,0.0895,0.9869,False,3,0.0792,0.0907,0.0012,0.0704
UQCRC1,Stim48hr,0.1393,0.0894,0.6421,False,3,0.2174,0.0499,0.1344,0.1393
CIAPIN1,Stim8hr,0.1149,0.0893,0.7772,False,2,0.1423,0.0256,0.1149,NA
TAF6,Stim8hr,0.1731,0.0893,0.516,True,3,0.2448,0.1226,0.1731,0.0838
GTF2H2C,Rest,0.1189,0.0892,0.7505,False,2,0.1345,0.1189,NA,0.0297
MTHFD1,Stim48hr,0.1351,0.0891,0.6599,False,3,0.1725,0.0459,0.0833,0.1351
MSH3,Rest,0.1687,0.089,0.5275,True,3,0.2595,0.1687,0.0947,0.0797
UQCRQ,Stim48hr,0.1333,0.089,0.6676,False,3,0.1664,0.0443,0.0672,0.1333
TARS1,Stim8hr,0.18,0.089,0.4942,False,3,0.2936,0.0911,0.18,0.1569
LENG1,Rest,0.1736,0.089,0.5125,True,2,0.2408,0.1736,NA,0.0846
MSMO1,Stim8hr,0.0929,0.0888,0.9559,False,3,0.1755,0.0844,0.0929,0.0041
NPEPPS,Rest,0.1037,0.0885,0.8533,False,2,0.1273,0.1037,0.0152,NA
CHERP,Stim8hr,0.1335,0.0884,0.6618,False,3,0.2277,0.0452,0.1335,0.1112
DMAC2L,Stim8hr,0.1045,0.0883,0.8451,False,3,0.1031,0.0162,0.1045,0.0624
SFSWAP,Stim48hr,0.122,0.0883,0.7239,False,3,0.1929,0.0337,0.096,0.122
CRCP,Rest,0.1383,0.0882,0.6377,False,3,0.1941,0.1383,0.1095,0.0501
EXOSC3,Stim8hr,0.1458,0.0881,0.6048,False,3,0.2425,0.1418,0.1458,0.0576
PHTF1,Rest,0.1019,0.0881,0.8646,False,3,0.1132,0.1019,0.0715,0.0138
UQCRC2,Stim48hr,0.124,0.088,0.7095,False,2,0.119,NA,0.036,0.124
BRCA1,Rest,0.1151,0.088,0.7646,False,3,0.1682,0.1151,0.0646,0.0271
DONSON,Rest,0.0998,0.0876,0.8774,False,3,0.1381,0.0998,0.0708,0.0122
YARS1,Rest,0.1148,0.0869,0.7576,False,3,0.1901,0.1148,0.0278,0.0523
GTF3C1,Stim8hr,0.1292,0.0869,0.6726,False,3,0.1928,0.0423,0.1292,0.0732
ACSF2,Stim48hr,0.1162,0.0868,0.7472,False,3,0.1325,0.0294,0.0836,0.1162
PLCG1,Stim8hr,0.2226,0.0868,0.3901,False,2,0.1954,NA,0.2226,0.1357
TRNAU1AP,Stim8hr,0.1864,0.0865,0.4641,False,3,0.3106,0.0999,0.1864,0.1742
FBXL19,Rest,0.1089,0.0865,0.794,False,2,0.1322,0.1089,NA,0.0224
NELFCD,Rest,0.0944,0.0863,0.9143,False,3,0.1724,0.0944,0.0916,0.0081
ZNF771,Rest,0.0937,0.0863,0.9208,False,2,0.0228,0.0937,NA,0.0074
CEBPZ,Stim8hr,0.1636,0.0861,0.5264,True,3,0.2515,0.1046,0.1636,0.0775
SNAPC1,Stim8hr,0.1392,0.0861,0.6182,False,3,0.218,0.0873,0.1392,0.0531
ALG14,Stim8hr,0.1218,0.086,0.7064,False,3,0.1997,0.0358,0.1218,0.0771
CDS2,Stim8hr,0.1139,0.0859,0.7536,False,3,0.1285,0.0281,0.1139,0.0468
SKIC8,Stim48hr,0.1716,0.0857,0.4996,False,3,0.2323,0.0859,0.1265,0.1716
GTF2E2,Stim8hr,0.1525,0.0857,0.5619,True,3,0.225,0.1157,0.1525,0.0668
VARS2,Stim48hr,0.0965,0.0857,0.8875,False,2,0.0278,NA,0.0109,0.0965
BRMS1,Rest,0.1126,0.0856,0.7602,False,3,0.1293,0.1126,0.0787,0.027
