target,best_state,best_Rdep,cs_spread,cs_rel_drop,cs_flag,n_slices_ident,Rdep_overall,Rdep_Rest,Rdep_Stim8hr,Rdep_Stim48hr
METAP2,Stim48hr,0.0938,0.0417,0.4449,False,3,0.1574,0.0521,0.0843,0.0938
ESRRB,Rest,0.1398,0.0417,0.2985,False,3,0.2025,0.1398,0.0981,0.1285
TNS1,Stim8hr,0.0611,0.0417,0.6824,False,3,0.0424,0.0297,0.0611,0.0194
SLC4A4,Rest,0.0827,0.0417,0.5045,False,3,0.1193,0.0827,0.041,0.0511
CCNH,Stim48hr,0.0691,0.0417,0.6038,False,2,0.1423,NA,0.0274,0.0691
NOP58,Stim8hr,0.0567,0.0417,0.7352,False,2,0.1224,NA,0.0567,0.015
ZNF696,Rest,0.0658,0.0417,0.6338,False,3,0.0988,0.0658,0.0241,0.0567
DAP,Stim8hr,0.0743,0.0417,0.5606,False,3,0.119,0.0436,0.0743,0.0327
DIS3L2,Stim48hr,0.0696,0.0417,0.5988,False,2,0.0677,NA,0.0279,0.0696
PUSL1,Rest,0.0985,0.0417,0.4231,False,3,0.1467,0.0985,0.0568,0.0783
IL1RN,Stim48hr,0.0703,0.0417,0.5927,False,2,0.0612,NA,0.0286,0.0703
RSPH3,Stim48hr,0.0607,0.0417,0.6861,False,3,0.0612,0.0191,0.025,0.0607
CLPTM1,Rest,0.0703,0.0416,0.5927,False,3,0.0949,0.0703,0.0286,0.0408
NUDCD1,Stim48hr,0.1048,0.0416,0.3973,False,3,0.1365,0.0684,0.0632,0.1048
COX5B,Stim48hr,0.0434,0.0416,0.9598,False,2,0.0884,NA,0.0017,0.0434
TIMM44,Rest,0.1838,0.0416,0.2263,False,3,0.3283,0.1838,0.1807,0.1422
MRPL20,Rest,0.1112,0.0416,0.3737,False,3,0.1591,0.1112,0.0834,0.0697
TAMALIN,Rest,0.0489,0.0416,0.8495,False,3,0.0706,0.0489,0.0284,0.0074
CD28,Stim48hr,0.0883,0.0415,0.4706,False,2,0.0412,NA,0.0467,0.0883
HEATR5B,Rest,0.0533,0.0415,0.7789,False,3,0.08,0.0533,0.0415,0.0118
ZNF263,Stim8hr,0.0489,0.0415,0.8494,False,2,0.0618,0.0074,0.0489,NA
SRA1,Stim8hr,0.0984,0.0415,0.422,False,2,0.1432,NA,0.0984,0.0569
MED4,Stim8hr,0.0925,0.0415,0.4489,False,3,0.1731,0.0774,0.0925,0.051
UXS1,Rest,0.073,0.0415,0.5685,False,3,0.1094,0.073,0.0646,0.0315
ATMIN,Stim48hr,0.0514,0.0415,0.8079,False,3,0.0555,0.026,0.0099,0.0514
SIGMAR1,Rest,0.1123,0.0415,0.3695,False,3,0.1688,0.1123,0.0708,0.082
RPLP1,Stim8hr,0.1001,0.0415,0.4145,False,3,0.199,0.0795,0.1001,0.0586
MAGOH,Rest,0.0931,0.0415,0.4456,False,2,0.129,0.0931,NA,0.0516
FXYD1,Stim8hr,0.0509,0.0415,0.814,False,3,0.0404,0.0095,0.0509,0.0492
MACC1,Stim8hr,0.0476,0.0414,0.8709,False,3,0.0529,0.024,0.0476,0.0061
ZNHIT3,Stim48hr,0.1446,0.0414,0.2865,False,3,0.2507,0.1031,0.1103,0.1446
MRPL44,Rest,0.062,0.0414,0.6682,False,3,0.0674,0.062,0.0224,0.0206
PPWD1,Stim8hr,0.1116,0.0414,0.371,False,2,0.1866,NA,0.1116,0.0702
SUPV3L1,Stim48hr,0.0789,0.0414,0.5245,False,3,0.1013,0.0375,0.0556,0.0789
ZCCHC7,Rest,0.0643,0.0414,0.6438,False,3,0.0768,0.0643,0.0282,0.0229
HHEX,Rest,0.0764,0.0414,0.5415,False,3,0.1055,0.0764,0.035,0.0487
CAMK2D,Rest,0.0754,0.0414,0.5487,False,3,0.1203,0.0754,0.034,0.0649
RAB30,Stim48hr,0.1593,0.0414,0.2597,False,3,0.2199,0.1413,0.1179,0.1593
CDC6,Rest,0.0469,0.0414,0.8814,False,2,0.0759,0.0469,NA,0.0056
SMAGP,Rest,0.1018,0.0414,0.4064,False,3,0.1372,0.1018,0.0604,0.0717
ZC3H18,Stim8hr,0.1284,0.0413,0.322,False,2,0.1652,0.087,0.1284,NA
SERPINB8,Stim8hr,0.0573,0.0413,0.7217,False,3,0.0706,0.0159,0.0573,0.0243
SH2D3C,Stim8hr,0.1132,0.0413,0.3652,False,3,0.1997,0.0718,0.1132,0.0856
AARSD1,Stim48hr,0.0509,0.0413,0.811,False,2,0.0255,0.0096,NA,0.0509
CCNI2,Rest,0.0891,0.0413,0.4634,False,3,0.1247,0.0891,0.0695,0.0478
PRR5,Rest,0.0452,0.0413,0.9131,False,2,0.042,0.0452,NA,0.0039
TBX21,Stim48hr,0.0714,0.0413,0.5783,False,3,0.0378,0.0473,0.0301,0.0714
MMP3,Stim8hr,0.0602,0.0413,0.6858,False,3,0.0657,0.0218,0.0602,0.0189
GNB4,Rest,0.0781,0.0413,0.5288,False,3,0.1126,0.0781,0.0368,0.0527
DDX39B,Rest,0.0913,0.0413,0.452,False,3,0.1677,0.0913,0.0829,0.05
ENSG00000275895,Rest,0.0788,0.0413,0.5236,False,3,0.1436,0.0788,0.0695,0.0375
UBE3B,Rest,0.1186,0.0412,0.3473,False,3,0.1617,0.1186,0.0851,0.0774
ZNF768,Rest,0.0855,0.0411,0.4809,False,3,0.1203,0.0855,0.0456,0.0444
ACACB,Rest,0.0643,0.0411,0.6398,False,3,0.0942,0.0643,0.0232,0.0392
TKT,Stim8hr,0.0721,0.0411,0.5699,False,3,0.1308,0.031,0.0721,0.0637
CCDC126,Rest,0.0884,0.0411,0.465,False,3,0.1154,0.0884,0.0473,0.0483
NUP188,Rest,0.0936,0.0411,0.439,False,3,0.1221,0.0936,0.0525,0.0625
ELMOD2,Rest,0.0619,0.0411,0.6641,False,3,0.0738,0.0619,0.0296,0.0208
KCTD3,Stim8hr,0.0622,0.0411,0.6603,False,3,0.1223,0.0528,0.0622,0.0211
R3HDM4,Stim48hr,0.057,0.0411,0.7212,False,2,0.0305,0.0159,NA,0.057
PRRT2,Stim48hr,0.0531,0.0411,0.7736,False,3,0.0563,0.012,0.0327,0.0531
CCZ1B,Rest,0.047,0.041,0.8725,False,3,0.0564,0.047,0.0238,0.006
NUDCD3,Stim8hr,0.1198,0.041,0.3424,False,2,0.1833,0.0788,0.1198,NA
THRB,Rest,0.0615,0.041,0.6667,False,2,0.0165,0.0615,0.0205,NA
CLDND2,Stim48hr,0.0518,0.041,0.7911,False,3,0.0649,0.0108,0.0189,0.0518
NXT1,Stim8hr,0.0422,0.041,0.9725,False,2,0.0431,0.0012,0.0422,NA
WDR73,Rest,0.0559,0.041,0.7336,False,3,0.0702,0.0559,0.0228,0.0149
FKBP7,Rest,0.0435,0.041,0.9429,False,2,0.0159,0.0435,NA,0.0025
MTNAP1,Rest,0.0474,0.041,0.8639,False,2,0.0707,0.0474,NA,0.0065
ACSM3,Rest,0.1057,0.041,0.3877,False,3,0.1551,0.1057,0.0647,0.0895
TLE3,Stim8hr,0.0645,0.041,0.6349,False,3,0.0767,0.0492,0.0645,0.0236
CBLL1,Stim8hr,0.0609,0.0409,0.6719,False,3,0.0909,0.02,0.0609,0.0596
LYRM9,Rest,0.0553,0.0409,0.7396,False,3,0.0867,0.0553,0.0144,0.0373
ZNF800,Rest,0.0681,0.0409,0.6003,False,2,0.1044,0.0681,NA,0.0272
FAM83G,Stim48hr,0.0777,0.0408,0.5257,False,3,0.1184,0.063,0.0368,0.0777
AP2A1,Rest,0.0476,0.0408,0.8575,False,3,0.0761,0.0476,0.0068,0.0475
CYTH1,Rest,0.0915,0.0408,0.4458,False,2,NA,0.0915,NA,0.0507
ZDBF2,Rest,0.063,0.0408,0.6469,False,3,0.0783,0.063,0.0223,0.0384
UQCC2,Stim48hr,0.0441,0.0408,0.9233,False,2,0.0611,NA,0.0034,0.0441
BRD8,Stim8hr,0.1027,0.0407,0.3966,False,3,0.1585,0.062,0.1027,0.0821
GON7,Rest,0.0479,0.0407,0.8513,False,3,0.0728,0.0479,0.0413,0.0071
CUL4B,Stim8hr,0.0409,0.0407,0.9964,False,3,0.041,0.0001,0.0409,0.0319
THY1,Rest,0.1367,0.0407,0.2979,False,3,0.2009,0.1367,0.1064,0.096
BBS9,Rest,0.114,0.0407,0.3572,False,3,0.1661,0.114,0.0771,0.0733
ZRSR2,Stim8hr,0.0606,0.0407,0.672,False,3,0.0906,0.0465,0.0606,0.0199
AGAP3,Rest,0.0581,0.0407,0.6997,False,3,0.0924,0.0581,0.0387,0.0174
SETX,Stim8hr,0.0413,0.0407,0.9838,False,3,0.0485,0.0007,0.0413,0.0033
JMJD6,Stim8hr,0.0541,0.0406,0.7517,False,2,0.0778,0.0134,0.0541,NA
MROH1,Rest,0.0463,0.0406,0.8781,False,3,0.046,0.0463,0.0203,0.0056
TOMM40,Stim8hr,0.155,0.0406,0.2622,False,2,0.2182,0.1144,0.155,NA
CHMP4A,Stim8hr,0.0522,0.0406,0.7781,False,2,NA,NA,0.0522,0.0116
NET1,Stim8hr,0.0962,0.0406,0.422,False,3,0.188,0.0556,0.0962,0.071
TSPAN6,Stim48hr,0.0571,0.0406,0.7112,False,2,0.038,NA,0.0165,0.0571
PSD,Stim8hr,0.1068,0.0406,0.3801,False,3,0.1536,0.0792,0.1068,0.0662
CALCB,Rest,0.0999,0.0406,0.4063,False,3,0.1438,0.0999,0.0593,0.0691
RIGI,Rest,0.1115,0.0406,0.3641,False,3,0.162,0.1115,0.0856,0.0709
RNF145,Stim8hr,0.0425,0.0406,0.9535,False,2,0.0209,NA,0.0425,0.002
DRG2,Rest,0.0539,0.0406,0.752,False,3,0.0714,0.0539,0.0134,0.0294
VWA5A,Stim48hr,0.0892,0.0405,0.4546,False,2,0.0733,NA,0.0486,0.0892
HLA-DPB1,Stim48hr,0.0477,0.0405,0.8496,False,3,0.0599,0.0214,0.0072,0.0477
H3C11,Stim48hr,0.067,0.0405,0.6047,False,2,NA,NA,0.0265,0.067
LYRM1,Rest,0.0585,0.0405,0.6928,False,2,NA,0.0585,NA,0.018
CENPL,Stim48hr,0.1135,0.0405,0.3569,False,2,0.1762,NA,0.073,0.1135
PGGT1B,Stim8hr,0.1084,0.0405,0.3734,False,3,0.1887,0.0679,0.1084,0.0835
SELL,Stim48hr,0.0627,0.0405,0.6455,False,2,0.0534,0.0222,NA,0.0627
CFAP210,Rest,0.0994,0.0405,0.4072,False,3,0.1367,0.0994,0.0768,0.0589
USO1,Stim48hr,0.0696,0.0404,0.581,False,3,0.1081,0.0292,0.0506,0.0696
WDCP,Stim48hr,0.0927,0.0404,0.4364,False,2,0.1476,NA,0.0522,0.0927
AFF1,Stim48hr,0.0575,0.0404,0.703,False,3,0.0721,0.0171,0.0312,0.0575
CDIPT,Rest,0.0517,0.0404,0.782,False,2,NA,0.0517,0.0113,NA
NEDD4,Stim48hr,0.055,0.0404,0.7341,False,2,0.102,NA,0.0146,0.055
TOGARAM2,Stim8hr,0.0951,0.0404,0.425,False,3,0.1499,0.0895,0.0951,0.0547
COIL,Stim48hr,0.0664,0.0404,0.6081,False,3,0.098,0.062,0.026,0.0664
SMARCE1,Rest,0.1759,0.0404,0.2296,False,3,0.2479,0.1759,0.1417,0.1355
MMP28,Stim48hr,0.0529,0.0404,0.7641,False,3,0.0708,0.0461,0.0125,0.0529
ZFYVE28,Stim8hr,0.0929,0.0404,0.4346,False,3,0.1531,0.0855,0.0929,0.0525
ADCK5,Rest,0.0805,0.0404,0.5015,False,3,0.113,0.0805,0.0513,0.0401
SLC25A6,Stim48hr,0.0625,0.0404,0.6462,False,3,0.0507,0.0221,0.0335,0.0625
MDFIC,Stim8hr,0.0605,0.0404,0.6675,False,3,0.1066,0.0599,0.0605,0.0201
TIGAR,Rest,0.0428,0.0403,0.9426,False,2,0.0299,0.0428,0.0025,NA
ZNF530,Rest,0.0474,0.0403,0.8509,False,2,0.0483,0.0474,NA,0.0071
DNAJC8,Stim48hr,0.0907,0.0403,0.4446,False,3,0.1384,0.0504,0.0901,0.0907
MMAA,Stim8hr,0.0814,0.0403,0.495,False,3,0.1298,0.0411,0.0814,0.0791
ENTR1,Stim48hr,0.0486,0.0403,0.8289,False,3,0.0493,0.0322,0.0083,0.0486
CCAR1,Stim8hr,0.1364,0.0403,0.2952,False,3,0.2403,0.0962,0.1364,0.1099
INO80B,Stim48hr,0.0531,0.0403,0.758,False,3,0.0592,0.0373,0.0129,0.0531
POLR1B,Stim8hr,0.1118,0.0403,0.36,False,3,0.1642,0.0716,0.1118,0.0745
TAS2R20,Stim48hr,0.0564,0.0403,0.7132,False,3,0.078,0.0162,0.0532,0.0564
PPIH,Stim8hr,0.0979,0.0402,0.4111,False,3,0.139,0.0576,0.0979,0.065
TRNT1,Stim48hr,0.0516,0.0402,0.7803,False,3,0.122,0.0113,0.0411,0.0516
NME3,Stim48hr,0.041,0.0402,0.9803,False,2,0.0153,NA,0.0008,0.041
NUDT16L1,Stim48hr,0.0495,0.0402,0.8124,False,3,0.0667,0.0411,0.0093,0.0495
ANKRD10,Rest,0.0648,0.0402,0.6202,False,3,0.1115,0.0648,0.0512,0.0246
KLHDC10,Rest,0.0797,0.0402,0.5042,False,3,0.1065,0.0797,0.0395,0.0601
LRR1,Stim8hr,0.0752,0.0402,0.5346,False,3,0.1374,0.035,0.0752,0.0664
ZCRB1,Stim48hr,0.1233,0.0402,0.3259,False,3,0.223,0.0831,0.1143,0.1233
BRMS1L,Stim48hr,0.0571,0.0402,0.7032,False,2,0.022,NA,0.017,0.0571
HSPA14,Rest,0.0749,0.0402,0.5366,False,2,0.1109,0.0749,0.0347,NA
DNAJB2,Rest,0.1054,0.0402,0.3812,False,3,0.1539,0.1054,0.0888,0.0652
LBHD1,Rest,0.0532,0.0401,0.7542,False,3,0.0323,0.0532,0.0131,0.0362
CTTN,Rest,0.077,0.0401,0.5216,False,3,0.1117,0.077,0.0601,0.0368
GOT2,Stim8hr,0.0612,0.0401,0.6551,False,3,0.0926,0.0211,0.0612,0.0587
FBXL17,Rest,0.051,0.0401,0.7865,False,3,0.0675,0.051,0.0109,0.0336
ETS2,Stim48hr,0.0667,0.0401,0.601,False,2,0.0374,NA,0.0266,0.0667
ZDHHC18,Rest,0.0835,0.0401,0.4802,False,3,0.1128,0.0835,0.0471,0.0434
BRI3,Stim48hr,0.1227,0.0401,0.3266,False,3,0.2061,0.0998,0.0826,0.1227
KMT5C,Rest,0.0496,0.0401,0.8071,False,3,0.0563,0.0496,0.025,0.0096
NOL12,Stim48hr,0.0833,0.04,0.4806,False,2,0.1665,NA,0.0433,0.0833
TRIM24,Stim8hr,0.0584,0.04,0.6857,False,3,0.1168,0.0184,0.0584,0.029
ERI2,Rest,0.0653,0.04,0.6132,False,3,0.0986,0.0653,0.0252,0.0647
NPAS1,Rest,0.0482,0.04,0.8298,False,3,0.0592,0.0482,0.0082,0.0105
POLH,Rest,0.0642,0.04,0.623,False,3,0.1017,0.0642,0.0242,0.0602
GNPAT,Stim8hr,0.1064,0.04,0.3757,False,3,0.1814,0.0664,0.1064,0.096
PSIP1,Stim48hr,0.0547,0.04,0.73,False,2,0.0457,NA,0.0148,0.0547
SRSF5,Rest,0.0942,0.04,0.4242,False,3,0.1165,0.0942,0.0556,0.0542
CRBN,Rest,0.0827,0.0399,0.483,False,3,0.1084,0.0827,0.0428,0.0534
USP7,Rest,0.0773,0.0399,0.5164,False,2,0.1075,0.0773,NA,0.0374
SCRN3,Stim8hr,0.0707,0.0399,0.5644,False,3,0.0992,0.0454,0.0707,0.0308
TMEM138,Rest,0.0543,0.0399,0.735,False,2,0.0324,0.0543,0.0144,NA
SEC61B,Stim48hr,0.1241,0.0399,0.3211,False,3,0.2158,0.0843,0.1009,0.1241
EMC7,Rest,0.0737,0.0398,0.5405,False,3,0.0842,0.0737,0.0438,0.0339
KIRREL2,Rest,0.1275,0.0398,0.3125,False,3,0.1921,0.1275,0.0876,0.1041
ABHD6,Rest,0.0455,0.0398,0.8765,False,3,0.0352,0.0455,0.0119,0.0056
NIPAL3,Rest,0.0503,0.0398,0.7923,False,3,0.0583,0.0503,0.0104,0.0105
B3GAT3,Rest,0.0435,0.0398,0.9144,False,3,0.0588,0.0435,0.0037,0.0327
ST3GAL3,Rest,0.0664,0.0398,0.5987,False,2,0.0198,0.0664,0.0267,NA
ALG8,Stim8hr,0.0975,0.0398,0.4079,False,3,0.138,0.0577,0.0975,0.0703
AAR2,Stim8hr,0.0977,0.0398,0.4071,False,3,0.1443,0.058,0.0977,0.0579
TOMM70,Stim48hr,0.0587,0.0397,0.6768,False,3,0.0908,0.019,0.0332,0.0587
ARHGAP33,Rest,0.0799,0.0397,0.497,False,3,0.124,0.0799,0.0402,0.0649
CACNA1I,Stim8hr,0.0516,0.0397,0.7705,False,3,0.0566,0.0118,0.0516,0.0227
TFF3,Rest,0.1123,0.0397,0.3536,False,3,0.1746,0.1123,0.1064,0.0726
NUP42,Stim48hr,0.0726,0.0397,0.5472,False,3,0.1113,0.0704,0.0329,0.0726
ICA1,Stim8hr,0.0693,0.0397,0.5722,False,3,0.0923,0.0515,0.0693,0.0297
NOC4L,Stim48hr,0.1532,0.0396,0.2588,False,3,0.2656,0.1213,0.1136,0.1532
CRB3,Stim48hr,0.09,0.0396,0.4403,False,3,0.1393,0.0504,0.0797,0.09
ZNF589,Stim48hr,0.0615,0.0396,0.6444,False,3,0.0949,0.0586,0.0219,0.0615
DDTL,Rest,0.1393,0.0396,0.2843,False,3,0.2082,0.1393,0.131,0.0997
OPRM1,Rest,0.0427,0.0396,0.9282,False,2,NA,0.0427,0.0031,NA
SYVN1,Rest,0.0582,0.0396,0.6803,False,3,0.1085,0.0582,0.0489,0.0186
INTS13,Stim48hr,0.0628,0.0396,0.6309,False,3,0.1076,0.0232,0.0495,0.0628
POLR2M,Stim48hr,0.0402,0.0396,0.9851,False,3,0.0173,0.0184,0.0006,0.0402
MYSM1,Rest,0.105,0.0396,0.3771,False,3,0.1495,0.105,0.0721,0.0654
SOHLH1,Stim8hr,0.096,0.0396,0.4123,False,3,0.1874,0.0564,0.096,0.0833
STK32C,Stim48hr,0.0639,0.0396,0.6187,False,3,0.0776,0.0244,0.0552,0.0639
HTT,Rest,0.1451,0.0396,0.2726,False,3,0.2108,0.1451,0.1352,0.1056
HUWE1,Stim48hr,0.0702,0.0395,0.5637,False,3,0.0986,0.0621,0.0306,0.0702
SYK,Stim8hr,0.057,0.0395,0.6935,False,3,0.0735,0.0274,0.057,0.0175
SLC25A44,Rest,0.0457,0.0395,0.8647,False,2,NA,0.0457,0.0062,NA
ALG10,Rest,0.0445,0.0395,0.8877,False,3,0.0667,0.0445,0.005,0.0358
PPIL3,Rest,0.0861,0.0395,0.4581,False,3,0.1231,0.0861,0.0533,0.0467
BMF,Stim8hr,0.0737,0.0395,0.5354,False,2,0.0581,0.0342,0.0737,NA
FZR1,Stim48hr,0.0721,0.0395,0.5469,False,2,0.1064,NA,0.0327,0.0721
LMLN,Stim8hr,0.0715,0.0395,0.5517,False,3,0.0946,0.0321,0.0715,0.034
PRB2,Stim48hr,0.0505,0.0394,0.7804,False,3,0.0691,0.0344,0.0111,0.0505
PET100,Stim8hr,0.0813,0.0394,0.4847,False,3,0.1464,0.0419,0.0813,0.058
PF4V1,Stim8hr,0.0865,0.0394,0.4554,False,3,0.114,0.0471,0.0865,0.0586
RAB22A,Stim8hr,0.0412,0.0394,0.9564,False,3,0.0452,0.0018,0.0412,0.0199
ZBTB40,Rest,0.1091,0.0394,0.361,False,3,0.1654,0.1091,0.0956,0.0697
RAD51D,Stim8hr,0.064,0.0394,0.6154,False,3,0.1256,0.0447,0.064,0.0246
FAM220A,Rest,0.0414,0.0393,0.9497,False,3,0.0237,0.0414,0.0021,0.0053
XPNPEP1,Rest,0.1672,0.0393,0.2352,False,3,0.2299,0.1672,0.1372,0.1279
SURF4,Rest,0.1138,0.0393,0.3456,False,2,0.1802,0.1138,0.0745,NA
HPS5,Stim48hr,0.0766,0.0393,0.5135,False,3,0.1514,0.0373,0.0703,0.0766
GSTK1,Stim8hr,0.0554,0.0393,0.7091,False,3,0.0593,0.0194,0.0554,0.0161
DYNLT4,Rest,0.1429,0.0393,0.2752,False,3,0.2119,0.1429,0.1036,0.1212
PITPNM2,Rest,0.0554,0.0393,0.709,False,3,0.0765,0.0554,0.0161,0.0456
UBN2,Stim48hr,0.0541,0.0393,0.7256,False,3,0.0941,0.0337,0.0149,0.0541
RPS23,Stim48hr,0.05,0.0393,0.7859,False,3,0.0736,0.0107,0.0218,0.05
ELOB,Stim8hr,0.0639,0.0393,0.6147,False,3,0.0881,0.0246,0.0639,0.051
NAF1,Stim8hr,0.1096,0.0392,0.3579,False,3,0.1946,0.1037,0.1096,0.0704
CXCL13,Stim48hr,0.1284,0.0392,0.3054,False,3,0.1911,0.1187,0.0892,0.1284
CRACR2A,Stim48hr,0.0528,0.0392,0.7425,False,2,0.0433,NA,0.0136,0.0528
ANKS3,Stim48hr,0.0904,0.0392,0.434,False,3,0.158,0.0511,0.0809,0.0904
SIX5,Stim8hr,0.0527,0.0392,0.744,False,3,0.058,0.0211,0.0527,0.0135
TAF3,Stim48hr,0.0479,0.0392,0.8178,False,3,0.0885,0.0087,0.0357,0.0479
RYK,Rest,0.1051,0.0392,0.3729,False,3,0.1581,0.1051,0.0835,0.0659
UBE2E2,Stim48hr,0.0484,0.0392,0.8094,False,2,0.0598,0.0092,NA,0.0484
SCAF4,Stim48hr,0.049,0.0392,0.7987,False,2,0.0293,0.0099,NA,0.049
ZNF805,Stim48hr,0.0587,0.0392,0.6672,False,2,0.0301,NA,0.0195,0.0587
IPP,Stim8hr,0.0967,0.0391,0.4048,False,2,0.1295,NA,0.0967,0.0575
CYBB,Stim48hr,0.0676,0.0391,0.5789,False,3,0.0882,0.0319,0.0285,0.0676
CRYZ,Rest,0.1224,0.0391,0.3195,False,3,0.1856,0.1224,0.0966,0.0833
ABHD4,Stim8hr,0.0618,0.0391,0.6325,False,3,0.0894,0.051,0.0618,0.0227
TMEM126B,Stim48hr,0.0461,0.0391,0.848,False,2,0.0228,0.007,NA,0.0461
NEIL2,Rest,0.0509,0.0391,0.7669,False,3,NA,0.0509,0.0151,0.0119
ZNF317,Rest,0.0854,0.039,0.4568,False,3,0.1318,0.0854,0.0464,0.0769
IL18R1,Rest,0.0574,0.039,0.6796,False,2,NA,0.0574,0.0184,NA
ZFP36L2,Rest,0.0594,0.039,0.6571,False,3,0.0893,0.0594,0.0331,0.0204
SOS1,Rest,0.0844,0.039,0.4618,False,3,0.1198,0.0844,0.0683,0.0455
ZNF219,Stim8hr,0.0663,0.039,0.5883,False,3,0.1163,0.0344,0.0663,0.0273
HUS1B,Rest,0.069,0.039,0.5647,False,3,0.1035,0.069,0.0593,0.0301
ADK,Stim48hr,0.064,0.039,0.609,False,3,0.0887,0.0474,0.025,0.064
FBXO45,Rest,0.0882,0.039,0.4423,False,3,0.1302,0.0882,0.0588,0.0492
PLAAT3,Rest,0.0961,0.039,0.4056,False,3,0.1467,0.0961,0.0733,0.0571
PYHIN1,Stim48hr,0.0457,0.039,0.8537,False,2,NA,NA,0.0067,0.0457
WAC,Stim8hr,0.181,0.039,0.2152,False,3,0.251,0.1421,0.181,0.1533
TMEM217,Stim48hr,0.0494,0.0389,0.7876,False,3,0.0293,0.0105,0.0253,0.0494
DNAJB12,Rest,0.081,0.0389,0.481,False,3,0.1139,0.081,0.0488,0.042
PECAM1,Stim8hr,0.0396,0.0389,0.9827,False,3,0.0537,0.0349,0.0396,0.0007
BRD3,Rest,0.0698,0.0389,0.5578,False,3,0.0968,0.0698,0.0348,0.0309
RPTOR,Stim8hr,0.0483,0.0389,0.8065,False,3,0.0671,0.0351,0.0483,0.0093
WASHC2A,Stim8hr,0.0718,0.0389,0.5418,False,3,0.15,0.0329,0.0718,0.0714
DEGS2,Rest,0.1114,0.0389,0.3492,False,3,0.1573,0.1114,0.0725,0.0895
ALOX5AP,Rest,0.1131,0.0389,0.3439,False,3,0.1615,0.1131,0.0742,0.0815
PPP1R18,Rest,0.0795,0.0389,0.4889,False,3,0.1277,0.0795,0.0469,0.0406
CCDC32,Stim8hr,0.0929,0.0389,0.4184,False,3,0.1513,0.0925,0.0929,0.054
TSTD2,Stim8hr,0.0848,0.0388,0.4579,False,3,0.1338,0.046,0.0848,0.0632
KCNG3,Rest,0.1046,0.0388,0.3713,False,3,0.1459,0.1046,0.0783,0.0658
EIF4G2,Stim8hr,0.1045,0.0388,0.3716,False,3,0.1484,0.0657,0.1045,0.0861
FAHD2A,Stim48hr,0.0567,0.0388,0.6845,False,3,0.0884,0.0179,0.0425,0.0567
LAYN,Stim8hr,0.0453,0.0388,0.8574,False,2,0.0329,NA,0.0453,0.0065
RAB23,Rest,0.0666,0.0388,0.5827,False,3,0.0987,0.0666,0.0538,0.0278
SRF,Rest,0.0645,0.0388,0.6019,False,2,0.0917,0.0645,0.0257,NA
RUSF1,Rest,0.0628,0.0388,0.6182,False,3,0.0744,0.0628,0.0369,0.024
MCAT,Rest,0.1025,0.0388,0.3784,False,3,0.1163,0.1025,0.0637,0.0784
EIF3L,Stim8hr,0.0568,0.0388,0.6825,False,2,0.073,NA,0.0568,0.018
HIPK1,Stim8hr,0.0542,0.0388,0.7156,False,3,0.093,0.0154,0.0542,0.0314
TNNC2,Rest,0.102,0.0388,0.3801,False,3,0.1504,0.102,0.0632,0.0771
CLIC5,Rest,0.074,0.0388,0.524,False,3,0.1015,0.074,0.0462,0.0352
MRPS15,Rest,0.1247,0.0387,0.3104,False,3,0.166,0.1247,0.1127,0.086
IL10RB,Stim48hr,0.0415,0.0387,0.9327,False,3,0.0158,0.0307,0.0028,0.0415
NFRKB,Rest,0.2305,0.0387,0.168,False,3,0.3213,0.2305,0.2291,0.1918
ZNF445,Rest,0.0426,0.0387,0.9078,False,3,0.066,0.0426,0.0244,0.0039
MAP4K1,Stim8hr,0.0626,0.0387,0.618,False,3,0.0762,0.0239,0.0626,0.0506
CTSO,Rest,0.0972,0.0387,0.3981,False,3,0.1752,0.0972,0.0585,0.0719
MT1E,Rest,0.1454,0.0387,0.266,False,3,0.2028,0.1454,0.1068,0.1131
SFTPC,Rest,0.0808,0.0387,0.4787,False,3,0.1114,0.0808,0.0542,0.0421
GZMA,Rest,0.0941,0.0387,0.411,False,3,0.1494,0.0941,0.0554,0.0852
VPS29,Stim48hr,0.051,0.0387,0.7577,False,2,0.0198,NA,0.0124,0.051
CROCC,Rest,0.0486,0.0387,0.7956,False,2,0.0355,0.0486,0.0099,NA
KCNN4,Rest,0.0471,0.0387,0.8208,False,3,0.0484,0.0471,0.0084,0.0179
NPIPA8,Rest,0.0753,0.0387,0.5134,False,3,0.1192,0.0753,0.0367,0.0579
INPP4A,Rest,0.0673,0.0387,0.5742,False,3,0.0948,0.0673,0.0287,0.0389
C9orf78,Rest,0.1311,0.0386,0.2946,False,3,0.2279,0.1311,0.1133,0.0925
CEP70,Rest,0.0598,0.0386,0.6446,False,3,0.0891,0.0598,0.0213,0.0443
PGBD1,Rest,0.0567,0.0385,0.6799,False,3,0.0673,0.0567,0.0218,0.0181
BTRC,Rest,0.0496,0.0385,0.7774,False,3,0.0477,0.0496,0.011,0.0286
LYSET,Rest,0.049,0.0385,0.786,False,3,0.0625,0.049,0.0376,0.0105
ZNF765,Rest,0.0582,0.0385,0.6619,False,3,0.0793,0.0582,0.0482,0.0197
AHR,Stim8hr,0.0917,0.0385,0.4202,False,3,0.1173,0.0893,0.0917,0.0531
FOXD4L6,Stim48hr,0.0452,0.0385,0.8512,False,3,0.0495,0.0202,0.0067,0.0452
