"gene","s2_T","s2_TG","s2_TD","s2_res","share_T","share_TG","share_TD","share_res"
"CUSTOM001_PuroR",0,0.0154723437095662,0.0314339863807931,0.136732995349478,0,0.0842539781308178,0.17117241258377,0.744573609285412
"ENSG00000000003",8.8477446413332e-08,1.35010540119339e-05,0,0.00761798442871868,1.15936040029257e-05,0.00176910478524941,0,0.998219301610748
"ENSG00000000005",0,0,0,0.000390896360743649,0,0,0,1
"ENSG00000000419",0.00897051990459328,0.012812782591978,0.0135986760797539,0.317809861895996,0.0253984347220397,0.0362771194681155,0.0385022373720992,0.899822208437746
"ENSG00000000457",0.0369626421273963,0.0647789740921839,0.0530652885202888,0.713956437977484,0.042546272741876,0.0745645803718716,0.0610814083779237,0.821807738508329
"ENSG00000000460",0.0787559501223214,0.0888284855663013,0.0755992352688949,0.726763071932683,0.0811961591701913,0.091580786488972,0.0779416352733223,0.749281419067514
"ENSG00000000938",0.00019265497491439,0.000452823154737127,0.000878787103965729,0.0824289921177901,0.00229478856440298,0.00539375325059423,0.0104675760261135,0.981843882158889
"ENSG00000000971",0,0.0277439859520214,0.0481669183557185,0.394324262144656,0,0.059000236331389,0.10243155295914,0.838568210709471
"ENSG00000001036",0.0561014296801609,0.0818582887516456,0.0785067357276891,0.795862463596859,0.0554181834541482,0.0808613557469738,0.0775506205055223,0.786169840293356
"ENSG00000001084",0.0475695389605641,0.0557161613991184,0.045305360869349,0.648614320734173,0.0596703685610087,0.0698893442765167,0.0568302245498891,0.813610062612586
"ENSG00000001167",0.0462655565109525,0.0723838466642913,0.0654373994346083,0.729681712627452,0.0506315940410109,0.0792146429399499,0.0716126659470362,0.798541097072003
"ENSG00000001460",0.0400136366487731,0.0693656536759568,0.0632067032423232,0.786778338393399,0.0417084889606075,0.0723037654883508,0.0658839412063203,0.820103804344721
"ENSG00000001461",0.036794495793854,0.0524397276410999,0.0484427185069875,0.621897267049484,0.0484409493612352,0.0690383204436735,0.0637761497606804,0.818744580434411
"ENSG00000001497",0.046688509879209,0.0598253633637555,0.0514316063345476,0.673366130293245,0.0561624658249,0.0719650280994589,0.0618680236434369,0.810004482432204
"ENSG00000001561",0.0478923419681665,0.0858044610673039,0.0767832254652806,0.798451331000198,0.0474683847589549,0.0850448945404428,0.076103517590394,0.791383203110208
"ENSG00000001617",0.000105698385197389,0.000124704399639396,0,0.0502300464523753,0.00209467784760509,0.00247132955660317,0,0.995433992595792
"ENSG00000001626",0,0.000114088942913335,0.000357414341745118,0.0134684189546037,0,0.00818433137252376,0.0256396223458443,0.966176046281632
"ENSG00000001629",0.0361820424238921,0.0572244506023107,0.0494904586423308,0.66297416955131,0.0448980506574345,0.0710094320239325,0.0614123739381768,0.822680143380456
"ENSG00000001630",0.0456607628362507,0.0450042019738474,0.0389837356758102,0.573928752054335,0.0648979905075042,0.063964815545696,0.0554078808737556,0.815729313073044
"ENSG00000001631",0.0140809879281602,0.0250384701108333,0.0263843684000158,0.453875782207843,0.0271111681970835,0.0482084196105935,0.0507997771971745,0.873880634995149
"ENSG00000002016",0.0406906742136948,0.0724701668960083,0.0656947997434699,0.766237452479206,0.0430546731330141,0.0766804533937287,0.0695114589313433,0.810753414541914
"ENSG00000002330",0.0555601812132169,0.0806607576436372,0.0765202229783752,0.773085078938112,0.0563590001110461,0.0818204611599323,0.0776203957792279,0.784200142949794
"ENSG00000002549",0.0295814581255358,0.0370316268479476,0.0308557949510439,0.541725364431942,0.0462792936368161,0.0579348565399404,0.0482729549326731,0.84751289489057
"ENSG00000002586",0.00814709327524333,0.0169724379595804,0.0192164398773874,0.325707863237116,0.0220165626852529,0.0458660201417061,0.0519301717624263,0.880187245410615
"ENSG00000002587",0,0.0117678314120316,0.0170788648393919,0.435473164897188,0,0.0253442344312408,0.0367825420974736,0.937873223471286
"ENSG00000002726",0,9.12421609065036e-06,0,0.00316696336785842,0,0.00287278478615049,0,0.99712721521385
"ENSG00000002745",0,0,1.43131382858781e-05,0.00297839070279154,0,0,0.00478267782111213,0.995217322178888
"ENSG00000002746",0,9.35938661107938e-06,2.82105236181392e-05,0.00113047584363177,0,0.00801285958203419,0.0241518994653154,0.96783524095265
"ENSG00000002822",0.045320076491344,0.0688630695518942,0.0559810542208267,0.647199779417427,0.055446627962495,0.0842501887332112,0.0684897495025916,0.791813433801702
"ENSG00000002834",0.0207780901925689,0.033089654551046,0.0288228889151892,0.459049568976975,0.038354344188368,0.0610803008343332,0.0532042642856383,0.84736109069166
"ENSG00000002919",0.0560207807441574,0.0799524256578619,0.0715384491961718,0.755164113478517,0.058192781561217,0.0830522884507038,0.0743120908348858,0.784442839153193
"ENSG00000002933",5.80227951976351e-12,0.000381702401792981,0.000937723414972105,0.0157729574261642,3.39465798029897e-10,0.0223317249700276,0.0548620634891095,0.922806211201397
"ENSG00000003056",0.0106544488935704,0.014298348911747,0.0131606540206967,0.313839669962397,0.0302723522934843,0.0406257198091935,0.037393201554293,0.891708726343029
"ENSG00000003096",0,0.00475770438359111,0.00973159022048947,0.180855810466459,0,0.0243553806064046,0.0498174255094611,0.925827193884134
"ENSG00000003137",0,0,0,0.00233430356794751,0,0,0,1
"ENSG00000003147",0.0124827441801538,0.0522071138074712,0.0581248444615473,0.704213147016574,0.015093499195,0.0631261859454873,0.0702816047840415,0.851498710075471
"ENSG00000003249",2.40113919637982e-07,2.6685341643626e-05,9.07066053017035e-05,0.0199677776624462,1.1954643840763e-05,0.00132859334269169,0.00451604455927177,0.994143407454196
"ENSG00000003393",0.0502852299153992,0.0804991162065972,0.0644860202482608,0.772321861195277,0.0519694438244063,0.083195290240325,0.0666458642505923,0.798189401684676
"ENSG00000003400",0.0422634700538362,0.0609903318174823,0.0521993147632561,0.667397868300737,0.0513622403419238,0.0741207496060506,0.0634371419842923,0.811079868067733
"ENSG00000003402",0,0.00509234680408547,0.00683912074303205,0.21798759443472,0,0.0221484324100441,0.0297457752483885,0.948105792341567
"ENSG00000003436",0,0.00392995704461307,0.00795333622011173,0.178327679117515,0,0.0206610428167918,0.0418132356956203,0.937525721487588
"ENSG00000003509",0.0411499056432183,0.0596777251362678,0.049263833551343,0.699423080479533,0.0484393185432796,0.0702492093876859,0.057990571029411,0.823320901039624
"ENSG00000003756",0.0168611919166521,0.0306252434998866,0.0263227651845591,0.5264668941956,0.0280890611217205,0.0510185958850466,0.0438510968748041,0.877041246118429
"ENSG00000003987",0,3.18787199944803e-06,4.44928392289613e-06,0.00111739779795028,0,0.00283357595999543,0.00395479616662638,0.993211627873378
"ENSG00000003989",0,9.87670715806771e-06,3.2717872151214e-05,0.00300529506496877,0,0.00324050681316817,0.0107345986796592,0.986024894507173
"ENSG00000004059",0.0440562263621888,0.0559500250077199,0.0497166245034809,0.627997799557786,0.0566478785429789,0.071941028154743,0.0639260676410814,0.807485025661197
"ENSG00000004139",0.0463142980626055,0.0720922661593909,0.0579419331244985,0.751376730392562,0.0499224303466203,0.0777086404506706,0.0624559205592671,0.809913008643442
"ENSG00000004142",0.0119561479911717,0.0166576772427081,0.0176344637765229,0.357100556195221,0.0296422021118631,0.0412984379172231,0.0437201295755116,0.885339230395402
"ENSG00000004399",0.00190051385265547,0.0123066342016157,0.0168710249281348,0.382202370806783,0.0045986047037939,0.0297779181395318,0.0408222094692668,0.924801267687407
"ENSG00000004468",0.00608721545340213,0.0646927484265676,0.0747351278219563,0.870793470045144,0.00598953475599772,0.0636546329151832,0.0735358636490122,0.856819968679807
"ENSG00000004478",0.0515382339740788,0.0594652466146497,0.0495830442519612,0.710464233099991,0.0591678883282581,0.068268405799033,0.0569232548160389,0.81564045105667
"ENSG00000004487",0.0240559771511491,0.0282803709228913,0.0287996511808876,0.452449584584745,0.0450836339656006,0.0530006277894282,0.0539738179836977,0.847941920261273
"ENSG00000004534",0.0137112201763203,0.0186266938607023,0.0198899211821139,0.432184888343831,0.0283048307969103,0.0384521152204646,0.0410598653062186,0.892183188676407
"ENSG00000004660",0.0237918944827779,0.047415074979025,0.0332719521357283,0.686823921130913,0.0300667370292043,0.0599202636698939,0.0420470524546649,0.867965946846237
"ENSG00000004700",0.0172001366706866,0.018509246883532,0.0190371113341992,0.336915714131648,0.0439157423784161,0.0472581894736333,0.0486059438357094,0.860220124312241
"ENSG00000004766",0.0450489466329231,0.0689755689366783,0.060395254305094,0.73486632783321,0.0495432039997981,0.0758568387997456,0.0664205187534881,0.808179438446968
"ENSG00000004776",1.77749056032104e-05,0.000526240878983194,0.000447061801694842,0.0668250123736139,0.000262104547957897,0.00775982335894624,0.00659226743917592,0.98538580465392
"ENSG00000004777",0.0281201516256184,0.0511463110094383,0.0404784760197483,0.726112972292856,0.0332445334632076,0.060466788035518,0.0478549357945923,0.858433742706682
"ENSG00000004779",0.00952071259074261,0.0121334964494998,0.0140591530028874,0.282799142882971,0.0298911736383836,0.0380942545797847,0.0441400346468321,0.887874537135
"ENSG00000004799",0,7.72534869707665e-06,2.15237740321519e-05,0.0026556166587496,0,0.00287736867532406,0.00801670391891866,0.989105927405757
"ENSG00000004809",0,3.11784072497734e-06,3.51143614394778e-05,0.00467241307524176,0,0.000661871259959123,0.00745425719229967,0.991883871547741
"ENSG00000004838",0.00457314703275443,0.0158025819184419,0.0132318517805224,0.458425760146258,0.00929438445084672,0.0321168925061947,0.0268921853078324,0.931696537735126
"ENSG00000004846",7.89164621000714e-14,6.0903473038928e-14,0,0.000323592013010887,2.4387642121228e-10,1.8821068062197e-10,0,0.999999999567913
"ENSG00000004848",2.00904728215224e-14,1.04718462191783e-05,0,0.0100153536972299,2.00387217336027e-12,0.00104448717701853,0,0.998955512820977
"ENSG00000004864",0.0596987062126057,0.076760966935226,0.0695069791443622,0.791091660635143,0.0598748392532147,0.0769874398919135,0.0697120501811891,0.793425670673683
