target,view,n_guides,n_donors,E_t,R_guide,R_donor_shrunk,R_dep,S_t
GFPT1,overall,2,3,2.2433,0.6346,0.3539,0.294,0.6595
POP1,overall,2,4,1.7209,0.6701,0.3764,0.3175,0.5465
MED22,overall,2,3,1.9598,0.5001,0.3152,0.2397,0.4697
RPS3,overall,2,4,1.4005,0.7009,0.3913,0.3353,0.4696
QARS1,overall,2,4,1.4854,0.6618,0.3635,0.3065,0.4553
RPP21,overall,2,4,1.2897,0.6936,0.3957,0.3369,0.4344
NOL11,overall,2,4,1.6725,0.5685,0.3196,0.2572,0.4302
RPL3,overall,2,3,1.5986,0.6522,0.3139,0.2689,0.4299
CUL1,overall,2,2,2.0777,0.4451,0.2773,0.2061,0.4282
DUT,overall,2,4,1.6501,0.614,0.3099,0.2593,0.4279
CINP,overall,2,4,1.5125,0.581,0.353,0.2814,0.4256
IMP4,overall,2,4,1.3685,0.6389,0.3652,0.3027,0.4143
TAF2,overall,2,2,1.9057,0.4996,0.2756,0.216,0.4116
NMD3,overall,2,4,1.2318,0.6693,0.3905,0.3274,0.4032
NGDN,overall,2,4,1.4223,0.6215,0.3305,0.2751,0.3913
AHCY,overall,2,3,1.52,0.5455,0.3267,0.2568,0.3904
EIF2B5,overall,2,3,1.2566,0.6621,0.3662,0.3085,0.3877
GAPDH,overall,2,4,1.6855,0.472,0.3045,0.2271,0.3828
SKP1,overall,2,3,1.3747,0.6333,0.3281,0.2757,0.379
PGM3,overall,2,3,1.4692,0.5329,0.3326,0.2576,0.3784
TBL3,overall,2,3,1.4895,0.6486,0.2915,0.2517,0.3749
NDUFAB1,overall,2,4,1.1187,0.6787,0.3888,0.3284,0.3674
MTREX,overall,2,4,1.3957,0.577,0.326,0.2631,0.3672
COG3,overall,2,4,1.272,0.6032,0.3525,0.2861,0.364
TRMT5,overall,2,4,1.1008,0.6871,0.388,0.3297,0.363
SRPRA,overall,2,4,1.239,0.6101,0.359,0.292,0.3618
TRIM11,overall,2,4,1.3432,0.5677,0.3354,0.2672,0.3589
TOMM20,overall,2,4,1.0524,0.7103,0.3921,0.338,0.3557
TIMM44,overall,2,4,1.0823,0.6826,0.3875,0.3283,0.3554
KANSL2,overall,2,2,2.0362,0.3799,0.2431,0.174,0.3544
METTL16,overall,2,4,1.6347,0.4384,0.298,0.2157,0.3526
SPC25,overall,2,2,1.9129,0.3477,0.279,0.1831,0.3503
TACC3,overall,2,4,1.5429,0.4793,0.2998,0.2261,0.3489
ZBTB11,overall,2,4,1.2852,0.6013,0.3302,0.2709,0.3481
SPOUT1,overall,2,4,1.2794,0.5742,0.3353,0.2685,0.3436
POLD2,overall,2,2,1.9413,0.4122,0.2365,0.1768,0.3433
BCCIP,overall,2,4,1.5012,0.5312,0.2854,0.228,0.3422
RPL13A,overall,2,4,1.7308,0.4288,0.2675,0.1972,0.3414
SURF6,overall,2,4,1.1884,0.641,0.3408,0.2861,0.34
LONP1,overall,2,4,1.1768,0.6348,0.3465,0.2889,0.34
LENG1,overall,2,4,1.4081,0.5254,0.3077,0.2408,0.339
FNTA,overall,2,3,1.6605,0.4417,0.2746,0.2038,0.3385
DDX52,overall,2,4,1.1933,0.5773,0.3576,0.2834,0.3382
ERCC2,overall,2,3,1.4873,0.4739,0.304,0.2273,0.338
RCL1,overall,2,4,1.1967,0.6229,0.3393,0.2815,0.3368
RABGGTA,overall,2,4,1.4299,0.5724,0.2843,0.2345,0.3353
TTI1,overall,2,4,1.3201,0.5913,0.3076,0.2537,0.3349
NOP10,overall,2,4,1.1276,0.6473,0.3535,0.2964,0.3342
EBNA1BP2,overall,2,4,1.5218,0.4256,0.3118,0.2194,0.3339
PAM16,overall,2,4,1.1921,0.6103,0.3385,0.2783,0.3318
JAK1,overall,2,3,1.5017,0.5093,0.2802,0.2207,0.3314
TEX10,overall,2,2,1.6221,0.3764,0.3051,0.2027,0.3288
TMEM129,overall,2,4,0.9823,0.6919,0.3931,0.3346,0.3286
GEMIN5,overall,2,2,1.8665,0.385,0.2431,0.1751,0.3268
ZC3H8,overall,2,3,1.2031,0.5327,0.3541,0.2702,0.3251
BANF1,overall,2,4,1.4672,0.4263,0.3153,0.2214,0.3248
CPSF4,overall,2,2,1.7088,0.3939,0.2685,0.19,0.3246
PTCD3,overall,2,4,1.2052,0.5852,0.3308,0.268,0.323
DNTTIP2,overall,2,3,1.5767,0.4902,0.2603,0.2048,0.323
SDAD1,overall,2,3,1.4087,0.5132,0.2922,0.2288,0.3223
C5orf22,overall,2,4,1.4788,0.4299,0.3059,0.2176,0.3218
TAF4,overall,2,4,1.0297,0.6899,0.3634,0.3124,0.3217
ZCCHC9,overall,2,4,1.1822,0.6144,0.3281,0.2721,0.3217
NOP2,overall,2,4,1.2552,0.5915,0.31,0.2553,0.3205
POLR1G,overall,2,4,1.0996,0.6218,0.3518,0.2898,0.3186
DCAF13,overall,2,4,1.3138,0.5244,0.3106,0.2423,0.3184
RPF1,overall,2,3,1.2067,0.5832,0.3246,0.2635,0.318
ESF1,overall,2,4,1.2701,0.5892,0.303,0.2502,0.3178
TAF1C,overall,2,4,1.3161,0.5581,0.298,0.2411,0.3173
BOP1,overall,2,4,1.372,0.5161,0.2941,0.2305,0.3163
RPL34,overall,2,2,1.6652,0.4057,0.2629,0.1898,0.3161
RPS19BP1,overall,2,3,1.2773,0.5735,0.3019,0.2466,0.3149
ATP1A1,overall,2,3,1.2827,0.5385,0.3099,0.2448,0.314
RPS15,overall,2,2,1.4742,0.4493,0.2877,0.2127,0.3135
EPRS1,overall,2,3,1.1956,0.5603,0.3298,0.262,0.3133
NOL10,overall,2,4,1.3844,0.4803,0.2972,0.2249,0.3113
KARS1,overall,2,3,1.3073,0.5677,0.2904,0.2378,0.3109
GNL3,overall,2,4,1.1643,0.5494,0.3413,0.2667,0.3105
DLST,overall,2,4,1.305,0.5223,0.303,0.2373,0.3096
UTP25,overall,2,4,1.1221,0.592,0.3382,0.2743,0.3077
VMA21,overall,2,4,1.1668,0.579,0.321,0.2602,0.3036
PRMT1,overall,2,3,1.0718,0.6075,0.3464,0.2831,0.3034
CEBPZ,overall,2,3,1.205,0.5511,0.3163,0.2515,0.3031
RPS12,overall,2,3,1.3469,0.5383,0.277,0.2238,0.3015
FCF1,overall,2,3,1.3677,0.5073,0.2799,0.2201,0.301
RAD9A,overall,2,3,1.3994,0.4819,0.2797,0.215,0.3009
TCOF1,overall,2,4,1.219,0.5271,0.317,0.2468,0.3008
PSMC4,overall,2,2,1.4758,0.458,0.2682,0.2036,0.3004
XPC,overall,2,3,1.189,0.5909,0.3052,0.2519,0.2996
UTP3,overall,2,4,1.1721,0.5416,0.3243,0.2544,0.2982
RPL15,overall,2,2,1.6498,0.4192,0.2409,0.1806,0.298
NAA15,overall,2,3,1.0828,0.5817,0.3423,0.2746,0.2974
GAR1,overall,2,4,1.2351,0.4906,0.3206,0.2405,0.297
PWP1,overall,2,4,0.9899,0.6431,0.3596,0.2998,0.2967
UBA1,overall,2,2,1.5521,0.4002,0.2671,0.1908,0.2961
AAMP,overall,2,4,1.001,0.6226,0.3581,0.2942,0.2945
RPP38,overall,2,4,1.0944,0.5696,0.335,0.2673,0.2925
MIS18BP1,overall,2,4,1.2441,0.5329,0.2952,0.2345,0.2918
RPP40,overall,2,4,1.072,0.5918,0.3351,0.2722,0.2918
LSM2,overall,2,3,1.378,0.476,0.2732,0.21,0.2894
RPS21,overall,2,4,1.1143,0.5643,0.3246,0.2596,0.2892
NDUFAF7,overall,2,4,0.9819,0.6353,0.3527,0.2933,0.288
E4F1,overall,2,4,0.9325,0.6622,0.3665,0.3087,0.2879
FBXW11,overall,2,4,1.0074,0.6315,0.3415,0.2848,0.2869
POLR1C,overall,2,4,1.1692,0.5225,0.3137,0.2438,0.285
RPL24,overall,2,4,1.1184,0.5277,0.3299,0.2547,0.2848
MED29,overall,2,3,1.5278,0.4099,0.2547,0.1863,0.2847
TARS1,overall,2,4,0.9683,0.5796,0.373,0.2936,0.2843
RCC1,overall,2,4,1.0971,0.5428,0.3282,0.2571,0.2821
RRP36,overall,2,4,1.0723,0.5552,0.3332,0.263,0.282
DDX10,overall,2,4,1.1873,0.5766,0.2868,0.2369,0.2813
NDUFA1,overall,2,4,1.6582,0.3883,0.2315,0.1696,0.2813
STT3B,overall,2,4,0.9301,0.6241,0.3681,0.3013,0.2803
CHCHD4,overall,2,4,0.9591,0.6326,0.352,0.2922,0.2803
RPSA,overall,2,2,1.386,0.4425,0.2704,0.2017,0.2795
TRNAU1AP,overall,2,4,0.8939,0.6966,0.3592,0.3106,0.2777
EIF6,overall,2,4,0.974,0.6195,0.3445,0.2844,0.277
GEMIN4,overall,2,4,1.2582,0.4978,0.2821,0.2196,0.2763
SAMM50,overall,2,4,1.2413,0.4981,0.285,0.2214,0.2748
NHP2,overall,2,4,1.1064,0.5527,0.309,0.2472,0.2735
PALB2,overall,2,3,1.3928,0.509,0.2418,0.1961,0.2731
TSR2,overall,2,4,0.9952,0.5343,0.3602,0.2741,0.2728
GTF2H4,overall,2,4,1.0494,0.5775,0.3198,0.2592,0.272
RPL39,overall,2,4,0.9969,0.5758,0.341,0.2726,0.2717
DUSP28,overall,2,4,1.119,0.5883,0.2905,0.2414,0.2701
PRDM10,overall,2,3,1.3519,0.4268,0.2724,0.1994,0.2696
BOD1L1,overall,2,4,0.8828,0.6455,0.366,0.3047,0.269
DIMT1,overall,2,4,1.0141,0.6378,0.3119,0.265,0.2687
PPWD1,overall,2,2,1.4391,0.4301,0.2479,0.1866,0.2686
BUD23,overall,2,4,0.9776,0.5427,0.3572,0.2746,0.2684
MNAT1,overall,2,4,1.0202,0.5785,0.3245,0.2625,0.2678
RAD51C,overall,2,4,1.2154,0.5149,0.2772,0.2198,0.2671
MSH3,overall,2,4,1.0283,0.5833,0.3185,0.2595,0.2668
UTP14A,overall,2,4,0.9721,0.6148,0.3311,0.2742,0.2665
CIAO2B,overall,2,4,0.9694,0.5902,0.3397,0.2748,0.2664
ILF2,overall,2,4,1.5077,0.3489,0.2632,0.1765,0.2661
TRAPPC1,overall,2,4,0.9625,0.6045,0.3373,0.2763,0.266
IP6K1,overall,2,3,1.471,0.4406,0.2342,0.1805,0.2656
NOB1,overall,2,4,0.9747,0.6011,0.3302,0.2709,0.264
KIN,overall,2,4,1.1573,0.5423,0.2822,0.2279,0.2638
MED18,overall,2,2,1.2752,0.4469,0.2773,0.2064,0.2633
CFDP1,overall,2,3,1.7806,0.3766,0.194,0.1468,0.2614
IMP3,overall,2,4,0.9503,0.606,0.3333,0.2739,0.2603
TRIAP1,overall,2,4,0.9641,0.5874,0.3328,0.2697,0.2601
POP7,overall,2,4,0.861,0.6029,0.3731,0.2995,0.2579
NOL9,overall,2,3,1.0905,0.5221,0.2987,0.2346,0.2558
FXN,overall,2,4,0.8617,0.627,0.3602,0.2966,0.2556
RANGAP1,overall,2,3,1.6197,0.3235,0.2344,0.1573,0.2548
GTF2B,overall,2,4,1.3988,0.4165,0.2445,0.1821,0.2548
HSCB,overall,2,3,1.3023,0.5225,0.2382,0.1956,0.2548
RPS4X,overall,2,2,1.4305,0.3912,0.2455,0.1776,0.2541
NIFK,overall,2,3,1.2448,0.4625,0.2671,0.2038,0.2537
ABCF1,overall,2,4,0.9414,0.549,0.3442,0.2683,0.2526
GPN2,overall,2,3,1.1632,0.4816,0.2824,0.2166,0.2519
POP5,overall,2,3,1.4615,0.3642,0.2465,0.1723,0.2519
EIF3A,overall,2,4,1.434,0.3627,0.2528,0.1751,0.251
ORC5,overall,2,4,1.0856,0.5083,0.2969,0.2307,0.2504
XRCC3,overall,2,4,1.1138,0.502,0.2868,0.2233,0.2487
XRN2,overall,2,4,0.9006,0.5899,0.3411,0.2757,0.2483
TFRC,overall,2,4,1.097,0.3835,0.3556,0.2262,0.2482
SF3A1,overall,2,2,1.4236,0.4279,0.227,0.1742,0.2479
NOL8,overall,2,3,1.135,0.4593,0.2938,0.2183,0.2478
NMNAT1,overall,2,3,1.0002,0.56,0.3055,0.2464,0.2464
NCAPG,overall,2,2,1.8684,0.2863,0.1963,0.1318,0.2463
NOC4L,overall,2,4,0.9247,0.6106,0.3198,0.2656,0.2456
TMA16,overall,2,4,0.9638,0.5059,0.3389,0.2546,0.2454
NUP62,overall,2,3,1.0501,0.5291,0.2942,0.2332,0.2448
HMGCS1,overall,2,4,1.1338,0.4736,0.284,0.2159,0.2448
WDR3,overall,2,4,1.308,0.3747,0.2719,0.187,0.2446
TIMM22,overall,2,3,0.9895,0.564,0.3055,0.2471,0.2445
GTF3C3,overall,2,4,0.7983,0.6657,0.359,0.3041,0.2428
WDR75,overall,2,4,1.0277,0.4805,0.3164,0.2358,0.2423
EIF2B3,overall,2,4,0.9922,0.5866,0.2941,0.2436,0.2417
GNL3L,overall,2,4,1.2477,0.4598,0.2505,0.1936,0.2415
HGS,overall,2,3,1.0798,0.5184,0.2823,0.2236,0.2415
SRRM2,overall,2,4,1.0038,0.5348,0.304,0.2404,0.2413
CPSF3,overall,2,2,1.4237,0.3382,0.253,0.1692,0.2409
RPS11,overall,2,4,1.3142,0.3606,0.2716,0.1833,0.2409
ORC4,overall,2,4,0.8705,0.6181,0.333,0.2762,0.2404
ZNF341,overall,2,4,0.9981,0.5743,0.2919,0.24,0.2395
PAK1IP1,overall,2,3,0.9633,0.5267,0.319,0.248,0.2388
EIF2S2,overall,2,4,0.9767,0.5549,0.304,0.2444,0.2387
BTBD9,overall,2,4,0.7968,0.6467,0.3578,0.2993,0.2385
MVK,overall,2,4,1.1437,0.4766,0.269,0.2077,0.2375
ATPSCKMT,overall,2,4,1.1879,0.4479,0.2647,0.1995,0.237
EIF3I,overall,2,3,1.0704,0.4761,0.2912,0.2206,0.2361
VIRMA,overall,2,4,1.0626,0.4841,0.2905,0.2218,0.2357
DDX59,overall,2,4,0.9981,0.5088,0.3052,0.2357,0.2353
WDR74,overall,2,3,1.5093,0.4527,0.1914,0.1555,0.2346
TSEN54,overall,2,4,0.9689,0.5534,0.2992,0.241,0.2335
RPRD1A,overall,2,4,0.8244,0.5874,0.353,0.2829,0.2332
RARS1,overall,2,4,0.8523,0.5898,0.3377,0.2734,0.233
DCTN5,overall,2,3,1.4872,0.3717,0.213,0.1566,0.2329
TRMT112,overall,2,4,0.9876,0.4329,0.3398,0.2351,0.2322
GEMIN2,overall,2,4,0.9623,0.5804,0.2916,0.2409,0.2318
SRFBP1,overall,2,4,0.845,0.5749,0.3439,0.2742,0.2317
RRP9,overall,2,4,0.7961,0.6284,0.3506,0.2904,0.2312
UBA3,overall,2,4,0.98,0.5134,0.3033,0.2356,0.2309
DDX24,overall,2,4,1.1243,0.439,0.2779,0.2051,0.2305
RIOK2,overall,2,4,1.0985,0.467,0.2743,0.2089,0.2295
TRA2B,overall,2,4,1.011,0.5252,0.2848,0.2265,0.229
URB1,overall,2,4,0.932,0.5524,0.3062,0.2454,0.2287
MPHOSPH10,overall,2,3,1.1391,0.4299,0.2731,0.2005,0.2284
PSMG1,overall,2,3,1.4843,0.3169,0.2283,0.153,0.2271
SARS1,overall,2,3,1.6556,0.3103,0.1972,0.1371,0.227
SNIP1,overall,2,2,1.5893,0.3106,0.2085,0.1425,0.2265
DDX51,overall,2,4,0.9275,0.5173,0.3147,0.2433,0.2256
LAS1L,overall,2,4,0.9893,0.5633,0.2763,0.2276,0.2251
HYOU1,overall,2,4,0.9107,0.5495,0.3086,0.2463,0.2243
RPP30,overall,2,4,0.9164,0.5513,0.3052,0.2445,0.224
SPCS3,overall,2,4,0.951,0.5745,0.2848,0.2352,0.2236
NOP16,overall,2,4,0.9868,0.5067,0.2893,0.2257,0.2227
HYPK,overall,2,3,1.0935,0.4869,0.2593,0.2036,0.2227
GTF2E2,overall,2,4,0.9887,0.5117,0.2866,0.225,0.2225
POLR1E,overall,2,4,0.8138,0.5969,0.3338,0.2724,0.2217
FARSB,overall,2,3,1.2389,0.4689,0.2239,0.1786,0.2213
TTF2,overall,2,4,1.5916,0.2629,0.2279,0.139,0.2213
NOM1,overall,2,4,0.8453,0.5875,0.3194,0.2609,0.2205
SENP6,overall,2,3,1.372,0.3198,0.2436,0.1604,0.2201
ZNHIT6,overall,2,4,0.96,0.4918,0.2999,0.229,0.2198
ZWILCH,overall,2,4,0.8142,0.5996,0.3257,0.2675,0.2178
SMC5,overall,2,4,1.0494,0.3987,0.3016,0.2073,0.2176
FBRSL1,overall,2,4,0.9548,0.5453,0.2813,0.2278,0.2175
POP4,overall,2,4,0.8578,0.48,0.3484,0.253,0.217
PSMD13,overall,2,3,1.0257,0.4733,0.2756,0.2109,0.2163
MAD2L2,overall,2,4,0.8274,0.5647,0.3259,0.2605,0.2155
TSR1,overall,2,4,1.0462,0.4989,0.2596,0.2059,0.2154
LSM8,overall,2,4,1.3893,0.3805,0.2071,0.1549,0.2152
BMS1,overall,2,4,1.0165,0.4138,0.3021,0.2116,0.2151
CARS1,overall,2,4,1.2037,0.423,0.2357,0.1784,0.2147
CARD11,overall,2,4,0.9931,0.3654,0.345,0.2157,0.2143
EXOSC3,overall,2,4,0.8787,0.5565,0.3005,0.2425,0.2131
SUPT5H,overall,2,2,1.4492,0.3206,0.2135,0.147,0.213
YKT6,overall,2,3,1.0329,0.4634,0.2707,0.2061,0.2129
DHX37,overall,2,2,1.6392,0.2975,0.1868,0.1296,0.2125
PFDN2,overall,2,4,1.112,0.4206,0.2592,0.191,0.2124
ZNHIT1,overall,2,3,0.9193,0.543,0.286,0.2305,0.2119
EXOC4,overall,2,4,0.8645,0.5281,0.3138,0.2451,0.2119
GUK1,overall,2,4,1.0803,0.4809,0.2468,0.1949,0.2105
RPF2,overall,2,2,1.9228,0.2339,0.1701,0.1093,0.2101
PPP2CA,overall,2,4,0.9429,0.5249,0.2775,0.2218,0.2091
CCDC86,overall,2,3,1.2819,0.3795,0.2194,0.1615,0.207
RPL13,overall,2,2,1.3164,0.3166,0.2376,0.1571,0.2067
NUTF2,overall,2,2,1.3002,0.3748,0.215,0.1582,0.2057
CENPC,overall,2,2,1.4983,0.2988,0.2026,0.1373,0.2057
ALYREF,overall,2,4,1.1716,0.4038,0.2342,0.174,0.2039
PCNA,overall,2,4,1.2176,0.3197,0.2599,0.1674,0.2038
CRCP,overall,2,3,1.0498,0.4863,0.2441,0.1941,0.2037
PPAN,overall,2,4,0.9955,0.5032,0.2553,0.2039,0.203
DNMT1,overall,2,3,1.0279,0.452,0.2593,0.1973,0.2028
RPL17,overall,2,2,1.5285,0.3013,0.1916,0.1327,0.2028
TRPM7,overall,2,4,0.8748,0.5067,0.2984,0.2312,0.2023
CHCHD3,overall,2,3,0.892,0.5202,0.2859,0.2262,0.2018
HAUS7,overall,2,3,1.1646,0.4785,0.2136,0.1733,0.2018
PRPS2,overall,2,4,0.7604,0.5063,0.3575,0.2651,0.2016
MRE11,overall,2,4,0.9635,0.4906,0.2672,0.2092,0.2016
NOC3L,overall,2,3,1.4024,0.3301,0.2016,0.1431,0.2006
CSNK1A1,overall,2,4,0.88,0.5241,0.2858,0.2269,0.1997
FDPS,overall,2,4,0.9384,0.5144,0.2661,0.2127,0.1996
COPS6,overall,2,3,1.1831,0.4057,0.2238,0.1685,0.1994
PHB1,overall,2,3,1.1806,0.3653,0.2379,0.1683,0.1987
UTP20,overall,2,4,1.0367,0.4312,0.2564,0.1916,0.1986
SLF2,overall,2,3,1.0758,0.4374,0.242,0.1845,0.1985
PABPC4,overall,2,4,0.9217,0.4727,0.283,0.2151,0.1982
MED9,overall,2,4,1.041,0.4597,0.245,0.1902,0.198
SRPRB,overall,2,4,0.7934,0.5513,0.3131,0.2495,0.198
TFPT,overall,2,4,0.9475,0.4776,0.2701,0.2085,0.1976
SAE1,overall,2,3,1.0966,0.4911,0.2213,0.18,0.1974
MTRES1,overall,2,4,0.7993,0.551,0.3092,0.247,0.1974
PRMT5,overall,2,4,0.8015,0.5631,0.3041,0.2461,0.1972
NUBP1,overall,2,2,1.2247,0.3515,0.229,0.161,0.1971
TMEM238,overall,2,4,0.7102,0.6006,0.3401,0.2774,0.197
BECN1,overall,2,4,0.7739,0.5482,0.3195,0.2529,0.1958
NOL7,overall,2,4,0.7071,0.5889,0.3422,0.2762,0.1953
DHX33,overall,2,4,0.7633,0.5379,0.328,0.2559,0.1953
RPN2,overall,2,4,0.845,0.4685,0.3116,0.2302,0.1945
ABCD1,overall,2,4,0.9643,0.3764,0.303,0.2017,0.1945
TCEA3,overall,2,4,0.8853,0.3971,0.3279,0.2189,0.1938
KIF21B,overall,2,4,0.732,0.5835,0.3243,0.2633,0.1927
EXOSC2,overall,2,4,1.0522,0.3908,0.2552,0.1825,0.1921
CTNNAL1,overall,2,4,0.7466,0.5793,0.3163,0.2572,0.192
ADSL,overall,2,4,0.8079,0.5363,0.2987,0.2374,0.1918
RPAP3,overall,2,3,1.0254,0.4947,0.2306,0.1866,0.1914
SDF2,overall,2,4,0.862,0.5311,0.2759,0.2219,0.1913
UPF1,overall,2,3,1.4861,0.2926,0.1868,0.1287,0.1913
TERF2,overall,2,3,1.3185,0.3094,0.2144,0.145,0.1912
ATP11B,overall,2,4,0.7568,0.4992,0.3381,0.2525,0.1911
NFYA,overall,2,2,1.4969,0.2882,0.1863,0.1276,0.191
HSPE1-MOB4,overall,2,3,0.9087,0.4809,0.271,0.2097,0.1905
TELO2,overall,2,4,1.0621,0.4924,0.2196,0.1791,0.1902
SDHA,overall,2,4,0.7972,0.5222,0.3047,0.2383,0.19
PRPF6,overall,2,4,1.142,0.3659,0.2328,0.1659,0.1894
PSTK,overall,2,2,1.4936,0.2935,0.1825,0.1268,0.1894
RPS15A,overall,2,4,1.0199,0.4663,0.2343,0.1848,0.1884
EIF4G1,overall,2,4,0.67,0.5815,0.3516,0.2806,0.188
SRBD1,overall,2,2,1.4583,0.2795,0.193,0.1289,0.1879
PRP4K,overall,2,4,0.8711,0.4664,0.2861,0.2156,0.1878
CHMP2A,overall,2,2,1.4085,0.2956,0.1953,0.1333,0.1877
PSPH,overall,2,4,1.0653,0.4813,0.2174,0.1761,0.1876
NVL,overall,2,3,1.0502,0.3744,0.2542,0.1784,0.1873
ETFDH,overall,2,4,0.7313,0.5606,0.3193,0.2554,0.1868
NFKBIE,overall,2,4,0.7801,0.5267,0.3042,0.2389,0.1864
SEC61B,overall,2,4,0.8612,0.4096,0.3133,0.2158,0.1859
TTI2,overall,2,4,0.7602,0.5248,0.3138,0.2444,0.1858
GEMIN8,overall,2,4,0.6927,0.5804,0.3327,0.2682,0.1858
POLD3,overall,2,3,1.3242,0.2979,0.2093,0.1402,0.1856
IL27RA,overall,2,4,0.7271,0.5301,0.3297,0.2551,0.1855
NELFB,overall,2,4,0.8133,0.4674,0.3074,0.2277,0.1852
GRWD1,overall,2,4,0.701,0.5721,0.3289,0.264,0.1851
ABCB10,overall,2,4,1.2474,0.334,0.2097,0.1478,0.1844
BRCA2,overall,2,4,1.2505,0.3055,0.2217,0.1474,0.1843
SMARCD3,overall,2,4,0.7143,0.5664,0.3212,0.2578,0.1841
RPS29,overall,2,4,1.1368,0.3876,0.2174,0.1618,0.184
SSX2IP,overall,2,4,0.7592,0.5178,0.3119,0.2417,0.1835
YARS1,overall,2,4,0.964,0.4725,0.2412,0.1901,0.1832
DICER1,overall,2,3,1.5029,0.2389,0.1992,0.1219,0.1831
DROSHA,overall,2,3,1.2661,0.3008,0.2167,0.1441,0.1824
SURF4,overall,2,2,1.0105,0.4117,0.2426,0.1802,0.1821
NOC2L,overall,2,4,0.8167,0.4592,0.3014,0.2224,0.1817
SUZ12,overall,2,4,0.7415,0.5479,0.3068,0.2448,0.1815
ZC3H18,overall,2,4,1.0984,0.4413,0.2088,0.1652,0.1814
ABT1,overall,2,4,0.87,0.4374,0.2845,0.2083,0.1812
CENPJ,overall,2,4,1.3276,0.3366,0.1838,0.1349,0.1792
NFYC,overall,2,4,0.9458,0.3902,0.2689,0.1893,0.1791
ATP6V1G1,overall,2,2,1.7501,0.2174,0.1619,0.1023,0.179
NCBP2,overall,2,3,1.1823,0.4161,0.1921,0.1513,0.1789
YEATS4,overall,2,3,1.0373,0.4853,0.2109,0.1723,0.1788
NOLC1,overall,2,4,0.8032,0.4002,0.3324,0.2219,0.1782
CHERP,overall,2,4,0.7816,0.4819,0.3015,0.2277,0.1779
PPA1,overall,2,4,0.8251,0.523,0.2673,0.2149,0.1773
TAF6,overall,2,4,0.7227,0.5621,0.3026,0.2448,0.177
CENPL,overall,2,3,0.9998,0.4245,0.2315,0.1762,0.1762
PSMC1,overall,2,4,0.8882,0.4772,0.2529,0.198,0.1759
ASH2L,overall,2,4,0.6916,0.5419,0.3227,0.2535,0.1753
TANGO6,overall,2,3,0.9005,0.3559,0.3002,0.1945,0.1752
NUCB1,overall,2,3,1.2489,0.3264,0.1973,0.1402,0.1751
BRI3,overall,2,4,0.8485,0.4731,0.2675,0.2061,0.1749
PSMD4,overall,2,4,0.7124,0.4818,0.3334,0.2454,0.1748
ZNF335,overall,2,3,1.2986,0.34,0.181,0.134,0.174
EIF5B,overall,2,4,0.9703,0.3914,0.2477,0.1788,0.1735
RPL19,overall,2,2,1.3235,0.27,0.203,0.131,0.1734
BARD1,overall,2,3,0.97,0.4419,0.2299,0.1782,0.1728
RRP15,overall,2,3,1.0065,0.4573,0.2156,0.1717,0.1728
HSPA5,overall,2,2,1.6105,0.229,0.1677,0.1072,0.1726
RACK1,overall,2,4,0.8656,0.4874,0.2516,0.199,0.1722
NUP43,overall,2,4,0.8839,0.4362,0.2605,0.1949,0.1722
PRPF40A,overall,2,4,0.7039,0.5352,0.3107,0.2447,0.1722
ANKRA2,overall,2,3,0.799,0.516,0.2701,0.2155,0.1722
KICS2,overall,2,4,0.6803,0.5429,0.3201,0.2521,0.1715
CENPW,overall,2,4,0.7928,0.5039,0.2745,0.2161,0.1713
PSMC3,overall,2,4,0.8866,0.4325,0.2588,0.1932,0.1713
GYS1,overall,2,4,0.8726,0.4661,0.2526,0.1959,0.1709
CENPM,overall,2,4,1.2326,0.3116,0.199,0.1382,0.1704
ECT2,overall,2,4,0.9444,0.4861,0.2226,0.1802,0.1702
RPS14,overall,2,3,1.2815,0.2856,0.1987,0.1327,0.1701
VAMP5,overall,2,4,0.6622,0.554,0.323,0.2564,0.1698
VPS18,overall,2,4,0.7019,0.5233,0.3098,0.2416,0.1696
LTV1,overall,2,3,0.8547,0.4635,0.2571,0.1981,0.1694
EIF3C,overall,2,2,1.1942,0.3014,0.211,0.1417,0.1692
RGP1,overall,2,3,1.076,0.3606,0.2175,0.1569,0.1689
RAE1,overall,2,2,1.4115,0.2467,0.1885,0.1196,0.1688
FH,overall,2,4,0.732,0.5026,0.2987,0.2305,0.1687
PDCD11,overall,2,2,1.216,0.3415,0.1886,0.1383,0.1682
DERL2,overall,2,2,1.258,0.332,0.1827,0.1336,0.1681
TOMM40,overall,2,4,0.7699,0.5225,0.2726,0.2182,0.168
BCKDHA,overall,2,4,0.7224,0.5204,0.2959,0.2325,0.168
WDHD1,overall,2,4,1.0249,0.3762,0.2241,0.1634,0.1674
EIF2B1,overall,2,4,0.7486,0.4356,0.3148,0.2236,0.1674
EXOSC10,overall,2,4,0.8905,0.4242,0.2515,0.1875,0.167
POLR2F,overall,2,3,1.2379,0.2811,0.2049,0.1345,0.1665
WAPL,overall,2,4,0.6467,0.6048,0.3085,0.2567,0.166
GMIP,overall,2,4,0.9912,0.3788,0.2304,0.1672,0.1658
NOPCHAP1,overall,2,4,1.1081,0.6135,0.1644,0.149,0.1651
EIF3M,overall,2,4,0.7522,0.5189,0.2752,0.2193,0.1649
PI4KA,overall,2,3,0.8988,0.387,0.2585,0.1834,0.1649
