"gene","cond","s2_T","s2_TG","s2_TD","s2_res","s2_me","s2_res_bio"
"ENSG00000000460","Rest",0.0853658261959022,0.0555933431289561,0.0234233665242575,1.04442250290626,0.745816868094255,0.298605634812004
"ENSG00000000460","Stim8hr",0.0824188661185502,0.0589534381687191,0.0225869795879793,0.782562367387212,0.521850292309155,0.260712075078057
"ENSG00000000460","Stim48hr",0.0329565415625711,0.0228518838947402,0.0118254010828377,0.564233023330133,0.360853407966715,0.203379615363418
"ENSG00000001036","Rest",0.0485192824825466,0.0506600867744956,0.0222589400848115,0.986522655688038,0.797633919283878,0.188888736404161
"ENSG00000001036","Stim8hr",0.052100832525194,0.0368478000380476,0.0234560527407962,0.825318780019548,0.595545840080576,0.229772939938972
"ENSG00000001036","Stim48hr",0.0602270247274627,0.0322240046293393,1.20491756308039e-09,0.822282558628174,0.626226368840811,0.196056189787363
"ENSG00000002330","Rest",0.0599468891037265,0.0458071884007104,0.0206135296588717,0.922153828618501,0.728089335505518,0.194064493112982
"ENSG00000002330","Stim8hr",0.0623567667390518,0.0355898757378342,2.20423293967377e-09,0.841478037892426,0.660614159297776,0.18086387859465
"ENSG00000002330","Stim48hr",0.0375517539893459,0.0380751897578411,0.0334821062597565,0.78489407025536,0.61705594973512,0.16783812052024
"ENSG00000002919","Rest",0.0559634089470726,0.0502349745075582,0.0187536549721541,0.926967501293525,0.735703910488572,0.191263590804952
"ENSG00000002919","Stim8hr",0.040758194239167,0.0410589642665949,0.0162521438366371,0.751018409542138,0.51567121957702,0.235347189965118
"ENSG00000002919","Stim48hr",0.0480060917689545,0.0400084749151786,0.0132525806852971,0.806188920685666,0.605723023308197,0.200465897377469
"ENSG00000004864","Rest",0.0547598822713394,0.0523233571248244,0.0164261619934563,0.995053820913884,0.849882945971327,0.145170874942557
"ENSG00000004864","Stim8hr",0.059281370223732,0.0421415185689501,0.0197844933432409,0.748114278151584,0.505842456026867,0.242271822124717
"ENSG00000004864","Stim48hr",0.0494915405214198,0.0401245966593325,0.00923727737836798,0.835355703449694,0.659558827304624,0.17579687614507
"ENSG00000004866","Rest",0.066436309468301,0.0512075146138072,0,1.09791854822811,0.919753864933549,0.178164683294559
"ENSG00000004866","Stim8hr",0.0473303889357047,0.0332138584059488,0.0168190065525314,0.737944147909709,0.421116116176904,0.316828031732805
"ENSG00000004866","Stim48hr",0.054780262154183,0.0467992766443511,0,0.884420666286372,0.66881768446519,0.215602981821182
"ENSG00000005022","Rest",0.0620231818178443,0.0410988588135907,0.0285718277792057,0.74472722369669,0.551052040259435,0.193675183437256
"ENSG00000005022","Stim8hr",0.0452362259069857,0.0314179155643927,0.0167842833844731,0.536217023556206,0.321803575482222,0.214413448073984
"ENSG00000005022","Stim48hr",0.0367299811922945,0.0249832824963792,0.0164946660455211,0.522262827000489,0.272537692735067,0.249725134265422
"ENSG00000005156","Rest",0.0581011161979209,0.0411481387710629,0.0173939378528687,0.964575083687006,0.757877493531681,0.206697590155326
"ENSG00000005156","Stim8hr",0.0468830049209816,0.0343924995465716,0.0165885720395078,0.637249323239556,0.4026956174828,0.234553705756756
"ENSG00000005156","Stim48hr",0.0597479266484537,0.0437089326999257,0.0181604982621927,0.792934027045716,0.613476694708904,0.179457332336812
"ENSG00000005379","Rest",0.0934391769035695,0.0870030184696566,0.0254695133131474,1.08698883068456,0.927350011729045,0.159638818955516
"ENSG00000005379","Stim8hr",0.0875381800305118,0.0603528995215577,0,0.925507669007835,0.688999353927004,0.236508315080831
