target,n_guides,E_t,R_t,R_status,S_t,rank_S,rank_E,rank_shift
ATP6V0D1,2,0.65196,0.2645,ok,0.17242,919,864,-55
PIM3,2,0.46211,0.3728,ok,0.17227,920,1367,447
ALDH6A1,2,0.49729,0.3463,ok,0.17223,921,1250,329
KNL1,2,0.60942,0.2816,ok,0.1716,922,964,42
NAA20,2,0.42909,0.3998,ok,0.17156,923,1493,570
TBP,2,0.47389,0.3615,ok,0.1713,924,1330,406
RRP1,2,0.73406,0.2331,ok,0.17114,925,710,-215
DCK,2,0.6203,0.2755,ok,0.17092,926,940,14
RPS16,2,0.82586,0.2065,ok,0.17058,927,572,-355
TNFRSF1B,2,0.42148,0.4044,ok,0.17043,928,1527,599
RRS1,2,1.38975,0.1226,ok,0.17043,929,95,-834
CRK,2,0.54771,0.3104,ok,0.17003,930,1114,184
FIP1L1,2,0.83534,0.203,ok,0.16961,931,562,-369
ILKAP,2,0.43914,0.3859,ok,0.16949,932,1450,518
EFR3A,2,0.4433,0.3819,ok,0.16928,933,1436,503
HAUS1,2,0.77621,0.2178,ok,0.16908,934,642,-292
SEPHS1,2,1.03963,0.1622,ok,0.16868,935,316,-619
MEMO1,2,0.42871,0.3929,ok,0.16844,936,1495,559
EEFSEC,2,0.39472,0.4263,ok,0.16828,937,1638,701
EIF4A1,2,0.48604,0.346,ok,0.16815,938,1283,345
HSF1,2,0.46997,0.3573,ok,0.1679,939,1349,410
PSMG4,2,0.76409,0.2192,ok,0.16753,940,659,-281
GTF3C2,2,0.4629,0.3611,ok,0.16715,941,1366,425
EPB41L5,2,0.42454,0.3936,ok,0.16709,942,1512,570
MSMO1,2,0.44191,0.3751,ok,0.16576,943,1439,496
STAT5B,2,0.48573,0.3411,ok,0.1657,944,1285,341
NELFA,2,0.64393,0.2568,ok,0.16537,945,885,-60
POLE2,2,0.81069,0.2039,ok,0.16526,946,595,-351
UMPS,2,0.45762,0.3609,ok,0.16515,947,1378,431
MED12,2,0.38144,0.4322,ok,0.16486,948,1699,751
MAP4,2,0.63065,0.2608,ok,0.16449,949,915,-34
PPIL4,2,0.61725,0.2662,ok,0.16429,950,948,-2
RTRAF,2,0.35894,0.4575,ok,0.16422,951,1798,847
ACD,2,0.52658,0.3111,ok,0.16383,952,1171,219
SLC35B1,2,0.36458,0.4483,ok,0.16345,953,1767,814
LSM10,2,0.4535,0.3593,ok,0.16295,954,1396,442
NSRP1,2,0.83232,0.1955,ok,0.16272,955,565,-390
NEDD8,2,0.70187,0.2312,ok,0.16229,956,771,-185
COX10,2,0.46148,0.3507,ok,0.16185,957,1369,412
RNF20,2,0.36245,0.4459,ok,0.16162,958,1779,821
NRIP2,2,0.89287,0.1808,ok,0.16142,959,486,-473
SEPSECS,2,0.44836,0.3599,ok,0.16136,960,1416,456
PELP1,2,1.15728,0.1392,ok,0.16115,961,224,-737
HNRNPK,2,0.50338,0.3199,ok,0.16102,962,1228,266
