target,n_guides,E_t,R_t,R_status,S_t,rank_S,rank_E,rank_shift
ANLN,2,0.49292,0.0865,ok,0.04265,2339,1260,-1079
ADAMTS6,2,0.12608,0.3381,ok,0.04263,2340,6029,3689
C1D,2,0.16441,0.2593,ok,0.04263,2341,4119,1778
POU6F1,2,0.2415,0.1765,ok,0.04263,2342,2692,350
WDPCP,2,0.12287,0.347,ok,0.04263,2343,6387,4044
TES,2,0.11417,0.3733,ok,0.04262,2344,8099,5755
ZFP57,2,0.11725,0.3629,ok,0.04255,2345,7349,5004
UBR4,2,0.16541,0.2571,ok,0.04254,2346,4081,1735
KCNH4,2,0.18545,0.2293,ok,0.04253,2347,3602,1255
NIPSNAP3B,2,0.23436,0.1813,ok,0.0425,2348,2786,438
C22orf23,2,0.11644,0.3647,ok,0.04246,2349,7518,5169
SLC25A33,2,0.11557,0.3674,ok,0.04246,2350,7724,5374
DHTKD1,2,0.12118,0.3503,ok,0.04245,2351,6623,4272
PLCXD2,2,0.11876,0.3575,ok,0.04245,2352,7037,4685
THYN1,2,0.11987,0.354,ok,0.04244,2353,6825,4472
ZZEF1,2,0.12236,0.3469,ok,0.04244,2354,6451,4097
EDC3,2,0.12376,0.3427,ok,0.04242,2355,6270,3915
GPR183,2,0.2392,0.1773,ok,0.0424,2356,2715,359
ADAM19,2,0.26615,0.1593,ok,0.04239,2357,2444,87
ZNF620,2,0.11396,0.372,ok,0.04239,2358,8152,5794
BHLHE23,2,0.11545,0.3671,ok,0.04238,2359,7755,5396
RBM33,2,0.24788,0.171,ok,0.04238,2360,2616,256
TNFSF10,2,0.23938,0.1768,ok,0.04232,2361,2713,352
PHLPP1,2,0.11672,0.3625,ok,0.04231,2362,7471,5109
CPM,2,0.55497,0.0762,ok,0.04228,2363,1090,-1273
ZNF135,2,0.28272,0.1495,ok,0.04227,2364,2290,-74
HIPK1,2,0.23251,0.1816,ok,0.04222,2365,2811,446
GPAT4,2,0.11937,0.3535,ok,0.0422,2366,6924,4558
TLCD5,2,0.11838,0.3565,ok,0.0422,2367,7126,4759
ANKRD11,2,0.11627,0.3629,ok,0.04219,2368,7563,5195
BIVM,2,0.1198,0.3518,ok,0.04214,2369,6837,4468
DTX3L,2,0.11931,0.3532,ok,0.04213,2370,6938,4568
GBA1,2,0.22165,0.1901,ok,0.04213,2371,2963,592
AMIGO2,2,0.28427,0.1481,ok,0.0421,2372,2269,-103
SORL1,2,0.11556,0.3641,ok,0.04207,2373,7725,5352
TNRC6C,2,0.22845,0.1839,ok,0.04201,2374,2866,492
ZXDA,2,0.11904,0.3529,ok,0.04201,2375,6986,4611
GPR15,2,0.13016,0.3225,ok,0.04198,2376,5665,3289
TSLP,2,0.12159,0.3452,ok,0.04197,2377,6563,4186
TOGARAM2,2,0.11759,0.3568,ok,0.04195,2378,7272,4894
POLRMT,2,0.17739,0.2364,ok,0.04194,2379,3765,1386
ARPC2,2,0.15261,0.2747,ok,0.04192,2380,4530,2150
SLC25A11,2,0.11978,0.3497,ok,0.04188,2381,6844,4463
MORN3,2,0.12259,0.341,ok,0.04181,2382,6422,4040
ANKRD28,2,0.12173,0.3434,ok,0.0418,2383,6533,4150
BRD1,2,0.15767,0.2648,ok,0.04175,2384,4353,1969
ABHD14B,2,0.1262,0.3308,ok,0.04174,2385,6018,3633
SLC25A34,2,0.11809,0.3535,ok,0.04174,2386,7182,4796
STARD3NL,2,0.11956,0.3491,ok,0.04173,2387,6887,4500
HPS4,2,0.1237,0.3371,ok,0.0417,2388,6277,3889
RYK,2,0.11889,0.3507,ok,0.0417,2389,7015,4626
ZSCAN16,2,0.12004,0.3472,ok,0.04168,2390,6798,4408
DYSF,2,0.11542,0.3611,ok,0.04167,2391,7766,5375
SEC14L1,2,0.17835,0.2334,ok,0.04162,2392,3743,1351
CHUK,2,0.17676,0.2352,ok,0.04157,2393,3778,1385
PRDX6,2,0.1166,0.3565,ok,0.04156,2394,7488,5094
TNNC2,2,0.11963,0.3472,ok,0.04154,2395,6872,4477
DMBT1,2,0.11661,0.3559,ok,0.0415,2396,7486,5090
INO80C,2,0.12672,0.3275,ok,0.0415,2397,5968,3571
HECA,2,0.11675,0.3553,ok,0.04148,2398,7460,5062
LIX1L,2,0.11815,0.351,ok,0.04148,2399,7171,4772
FOSB,2,0.21517,0.1927,ok,0.04147,2400,3059,659
ZFYVE28,2,0.12198,0.3398,ok,0.04145,2401,6505,4104
HMOX2,2,0.11947,0.3465,ok,0.0414,2402,6902,4500
PIK3R2,2,0.12083,0.3424,ok,0.04138,2403,6680,4277
SKI,2,0.11773,0.3515,ok,0.04138,2404,7249,4845
MTMR11,2,0.11734,0.3525,ok,0.04137,2405,7328,4923
CUTA,2,0.11883,0.348,ok,0.04136,2406,7026,4620
FAM185A,2,0.11643,0.3553,ok,0.04136,2407,7520,5113
CCDC146,2,0.11423,0.3618,ok,0.04132,2408,8082,5674
NBR1,2,0.22622,0.1827,ok,0.04132,2409,2901,492
ONECUT1,2,0.11839,0.3489,ok,0.04131,2410,7122,4712
ZNF638,2,0.26542,0.1556,ok,0.04131,2411,2450,39
PDK3,2,0.12468,0.331,ok,0.04127,2412,6174,3762
TMEM126A,2,0.1139,0.3623,ok,0.04126,2413,8167,5754
TSC2,2,0.12998,0.3174,ok,0.04126,2414,5675,3261
ZBTB5,2,0.11603,0.3556,ok,0.04126,2415,7612,5197
NDUFS7,2,0.21052,0.1952,ok,0.0411,2416,3124,708
BBS9,2,0.12108,0.3394,ok,0.04109,2417,6634,4217
CCDC47,2,0.12039,0.3411,ok,0.04107,2418,6742,4324
NUDCD2,2,0.12008,0.3418,ok,0.04104,2419,6792,4373
SNX25,2,0.2302,0.1782,ok,0.04102,2420,2846,426
FIBP,2,0.11905,0.3444,ok,0.041,2421,6982,4561
UEVLD,2,0.11424,0.3589,ok,0.041,2422,8079,5657
BCS1L,2,0.1965,0.2086,ok,0.04099,2423,3370,947
CD244,2,0.12414,0.3302,ok,0.04099,2424,6231,3807
ALG10,2,0.28708,0.1427,ok,0.04096,2425,2244,-181
IWS1,2,0.28027,0.1462,ok,0.04096,2426,2319,-107
RAX,2,0.11466,0.3572,ok,0.04096,2427,7984,5557
ZNF316,2,0.11493,0.3563,ok,0.04095,2428,7903,5475
ZNF74,2,0.12047,0.3396,ok,0.04091,2429,6729,4300
TAF4B,2,0.31807,0.1286,ok,0.0409,2430,2048,-382
OLFM2,2,0.25947,0.1574,ok,0.04085,2431,2504,73
SDHAF1,2,0.11886,0.3436,ok,0.04085,2432,7020,4588
SIKE1,2,0.12452,0.3281,ok,0.04085,2433,6193,3760
FLACC1,2,0.11696,0.3491,ok,0.04084,2434,7414,4980
TRIM4,2,0.33352,0.1224,ok,0.04084,2435,1953,-482
ZNF843,2,0.11788,0.3464,ok,0.04084,2436,7229,4793
FCGBP,2,0.11923,0.3423,ok,0.04081,2437,6955,4518
CORO2A,2,0.12595,0.3237,ok,0.04077,2438,6044,3606
APOBEC3A,2,0.12634,0.3226,ok,0.04076,2439,6002,3563
FOXP3,2,0.1245,0.3273,ok,0.04075,2440,6195,3755
EBI3,2,0.11744,0.3469,ok,0.04074,2441,7299,4858
ZNF607,2,0.12618,0.3228,ok,0.04074,2442,6026,3584
RBM10,2,0.12385,0.3289,ok,0.04073,2443,6259,3816
GPR157,2,0.12084,0.3368,ok,0.0407,2444,6676,4232
TBRG1,2,0.12235,0.3326,ok,0.04069,2445,6452,4007
HIGD2A,2,0.24625,0.1652,ok,0.04068,2446,2636,190
KDM2A,2,0.15666,0.2596,ok,0.04067,2447,4379,1932
RUNX2,2,0.26976,0.1508,ok,0.04067,2448,2408,-40
ARHGEF6,2,0.11639,0.3493,ok,0.04066,2449,7538,5089
PRDM6,2,0.11869,0.3425,ok,0.04066,2450,7052,4602
CEP290,2,0.11709,0.3471,ok,0.04065,2451,7390,4939
MAML3,2,0.11639,0.3492,ok,0.04064,2452,7539,5087
FASTKD5,2,0.12127,0.3347,ok,0.04059,2453,6606,4153
ZC3H12D,2,0.11743,0.3456,ok,0.04059,2454,7304,4850
DCP1B,2,0.12216,0.3322,ok,0.04058,2455,6475,4020
DRGX,2,0.11919,0.3404,ok,0.04058,2456,6962,4506
NAIP,2,0.11818,0.3431,ok,0.04055,2457,7164,4707
REL,2,0.26935,0.1505,ok,0.04054,2458,2410,-48
RIPK1,2,0.12487,0.3247,ok,0.04054,2459,6153,3694
SUPV3L1,2,0.20213,0.2006,ok,0.04054,2460,3264,804
GLB1L,2,0.11683,0.3467,ok,0.0405,2461,7440,4979
ERCC4,2,0.17958,0.2255,ok,0.04049,2462,3714,1252
GBP4,2,0.11875,0.3405,ok,0.04044,2463,7041,4578
IER5,2,0.11471,0.3526,ok,0.04044,2464,7971,5507
SFRP1,2,0.1206,0.3353,ok,0.04044,2465,6708,4243
FN3KRP,2,0.11901,0.3397,ok,0.04043,2466,6988,4522
SHOC2,2,0.12204,0.3312,ok,0.04042,2467,6494,4027
RPP14,2,0.23366,0.1728,ok,0.04038,2468,2793,325
CD24,2,0.21614,0.1867,ok,0.04035,2469,3045,576
ENKD1,2,0.11532,0.3499,ok,0.04035,2470,7803,5333
SFTPA2,2,0.11937,0.3379,ok,0.04034,2471,6925,4454
WDFY4,2,0.11987,0.3365,ok,0.04034,2472,6827,4355
ALG10B,2,0.12329,0.3269,ok,0.0403,2473,6333,3860
CEP128,2,0.11893,0.3387,ok,0.04028,2474,7007,4533
EDRF1,2,0.20095,0.2004,ok,0.04027,2475,3291,816
FBXO43,2,0.1184,0.3402,ok,0.04027,2476,7118,4642
SCAF8,2,0.21354,0.1886,ok,0.04027,2477,3087,610
INTS10,2,0.16972,0.2372,ok,0.04026,2478,3967,1489
MYSM1,2,0.11748,0.3422,ok,0.04021,2479,7289,4810
TMEM168,2,0.123,0.3265,ok,0.04016,2480,6369,3889
LRPPRC,2,0.14021,0.2864,ok,0.04015,2481,5057,2576
GZMB,2,0.22398,0.1792,ok,0.04014,2482,2932,450
GGNBP2,2,0.1201,0.334,ok,0.04011,2483,6787,4304
PYCR1,2,0.252,0.1591,ok,0.0401,2484,2572,88
IDH3G,2,0.11173,0.3588,ok,0.04009,2485,8729,6244
PTRH2,2,0.25406,0.1578,ok,0.04008,2486,2553,67
STAB1,2,0.11874,0.3376,ok,0.04008,2487,7042,4555
ZNF419,2,0.11491,0.3488,ok,0.04008,2488,7908,5420
CALCB,2,0.11705,0.3422,ok,0.04005,2489,7399,4910
ZNF518B,2,0.27382,0.1462,ok,0.04004,2490,2368,-122
COL5A2,2,0.12041,0.3324,ok,0.04003,2491,6738,4247
DMRTB1,2,0.11822,0.3385,ok,0.04002,2492,7154,4662
HOXC11,2,0.1173,0.3412,ok,0.04002,2493,7336,4843
METTL1,2,0.15718,0.2546,ok,0.04002,2494,4366,1872
FRMD6,2,0.11411,0.3502,ok,0.03996,2495,8109,5614
RNF181,2,0.12695,0.3146,ok,0.03993,2496,5942,3446
NUP188,2,0.13678,0.2917,ok,0.0399,2497,5247,2750
CYP4V2,2,0.24907,0.1602,ok,0.03989,2498,2595,97
ZNF485,2,0.11966,0.3333,ok,0.03988,2499,6866,4367
DEGS2,2,0.12761,0.3125,ok,0.03987,2500,5878,3378
ABHD3,2,0.11631,0.3427,ok,0.03986,2501,7555,5054
TCL1A,2,0.23946,0.1665,ok,0.03986,2502,2709,207
ERO1B,2,0.11919,0.3343,ok,0.03984,2503,6963,4460
SRGAP3,2,0.11572,0.3443,ok,0.03984,2504,7688,5184
ZNF414,2,0.23206,0.1716,ok,0.03983,2505,2818,313
SMUG1,2,0.11796,0.3375,ok,0.03981,2506,7212,4706
DNAJC21,2,0.2188,0.1819,ok,0.0398,2507,3004,497
PPIH,2,0.12681,0.3137,ok,0.03978,2508,5957,3449
HHLA2,2,0.11588,0.3431,ok,0.03975,2509,7653,5144
MLYCD,2,0.22918,0.1733,ok,0.03972,2510,2858,348
LRRC37A3,2,0.12348,0.3215,ok,0.03969,2511,6309,3798
SETD2,2,0.15666,0.2534,ok,0.03969,2512,4380,1868
ZNF878,2,0.11884,0.334,ok,0.03969,2513,7025,4512
TP63,2,0.25666,0.1545,ok,0.03966,2514,2535,21
GLCCI1,2,0.20405,0.1943,ok,0.03964,2515,3231,716
NRAS,2,0.12307,0.3219,ok,0.03961,2516,6359,3843
FBXW7,2,0.12275,0.3224,ok,0.03958,2517,6405,3888
MCTS1,2,0.13525,0.2925,ok,0.03956,2518,5339,2821
SLC35C1,2,0.27747,0.1425,ok,0.03954,2519,2338,-181
STK35,2,0.1199,0.3298,ok,0.03954,2520,6820,4300
PMEPA1,2,0.127,0.3111,ok,0.03951,2521,5931,3410
B4GALNT4,2,0.11872,0.3327,ok,0.0395,2522,7046,4524
ARRDC2,2,0.12184,0.3239,ok,0.03946,2523,6518,3995
C2orf74,2,0.11519,0.3426,ok,0.03946,2524,7827,5303
RFC1,2,0.2684,0.1468,ok,0.03941,2525,2419,-106
DHCR7,2,0.125,0.3148,ok,0.03935,2526,6140,3614
HDDC2,2,0.11694,0.3365,ok,0.03935,2527,7418,4891
STON2,2,0.11912,0.3302,ok,0.03933,2528,6973,4445
DNAJC12,2,0.11626,0.3377,ok,0.03926,2529,7564,5035
NDUFS2,2,0.11919,0.3294,ok,0.03926,2530,6964,4434
UNG,2,0.11744,0.3343,ok,0.03926,2531,7301,4770
BCL9L,2,0.12106,0.324,ok,0.03922,2532,6637,4105
USP28,2,0.12049,0.3254,ok,0.03921,2533,6724,4191
USP21,2,0.11714,0.3344,ok,0.03918,2534,7379,4845
SESN2,2,0.1159,0.3379,ok,0.03916,2535,7649,5114
FERMT3,2,0.11983,0.3265,ok,0.03913,2536,6830,4294
ALG8,2,0.12345,0.3168,ok,0.03911,2537,6313,3776
MCOLN1,2,0.11867,0.3295,ok,0.0391,2538,7054,4516
GLRX5,2,0.1165,0.3355,ok,0.03909,2539,7507,4968
KPTN,2,0.11784,0.3316,ok,0.03907,2540,7236,4696
FAM209B,2,0.18984,0.2057,ok,0.03906,2541,3512,971
KLF4,2,0.2187,0.1778,ok,0.03888,2542,3006,464
ACLY,2,0.13864,0.2801,ok,0.03884,2543,5141,2598
TK1,2,0.2378,0.1634,ok,0.03884,2544,2740,196
SAP25,2,0.11475,0.3384,ok,0.03883,2545,7956,5411
GRK5,2,0.11558,0.3357,ok,0.0388,2546,7723,5177
SERBP1,2,0.24175,0.1604,ok,0.03878,2547,2686,139
PHYHD1,2,0.11873,0.3265,ok,0.03876,2548,7044,4496
PHYKPL,2,0.24363,0.159,ok,0.03875,2549,2661,112
RNF39,2,0.12154,0.3188,ok,0.03875,2550,6566,4016
NUDT6,2,0.11431,0.3388,ok,0.03873,2551,8066,5515
ZNF133,2,0.11519,0.3362,ok,0.03873,2552,7834,5282
ACAD9,2,0.11677,0.3315,ok,0.03871,2553,7451,4898
ZNF430,2,0.11696,0.3308,ok,0.03869,2554,7416,4862
CCDC32,2,0.12088,0.32,ok,0.03868,2555,6668,4113
FNIP1,2,0.11736,0.3293,ok,0.03865,2556,7323,4767
SMIM10L1,2,0.11468,0.337,ok,0.03865,2557,7982,5425
RNASEL,2,0.11476,0.3367,ok,0.03864,2558,7951,5393
SAXO2,2,0.199,0.194,ok,0.03861,2559,3326,767
VCF1,2,0.11581,0.3332,ok,0.03859,2560,7666,5106
SLC25A22,2,0.35661,0.1082,ok,0.03859,2561,1810,-751
RNF7,2,0.28579,0.1349,ok,0.03855,2562,2254,-308
IL6R,2,0.11995,0.3212,ok,0.03853,2563,6810,4247
SCPEP1,2,0.11681,0.3293,ok,0.03847,2564,7444,4880
TWNK,2,0.14028,0.2741,ok,0.03845,2565,5054,2489
OTUD6B,2,0.23527,0.1631,ok,0.03838,2566,2775,209
PHF12,2,0.18397,0.2086,ok,0.03838,2567,3630,1063
SMAGP,2,0.12199,0.3147,ok,0.03838,2568,6500,3932
GINS1,2,0.37365,0.1027,ok,0.03837,2569,1731,-838
FAHD2B,2,0.12002,0.3195,ok,0.03835,2570,6802,4232
PRKCD,2,0.12057,0.3179,ok,0.03833,2571,6710,4139
C1GALT1C1,2,0.22084,0.1735,ok,0.03832,2572,2974,402
COX5B,2,0.23016,0.1665,ok,0.03832,2573,2847,274
VDAC1,2,0.22364,0.1713,ok,0.03832,2574,2940,366
CACNA1D,2,0.11617,0.3297,ok,0.0383,2575,7579,5004
UROS,2,0.19699,0.1944,ok,0.03829,2576,3364,788
BBS7,2,0.21563,0.1775,ok,0.03828,2577,3051,474
NME1,2,0.11337,0.3377,ok,0.03828,2578,8297,5719
ATF7IP2,2,0.1476,0.2591,ok,0.03825,2579,4726,2147
CUL3,2,0.15413,0.2474,ok,0.03813,2580,4478,1898
GMDS,2,0.1147,0.3323,ok,0.03812,2581,7974,5393
RBM17,2,0.24744,0.154,ok,0.03812,2582,2622,40
ADCY7,2,0.11851,0.3213,ok,0.03808,2583,7099,4516
DPP4,2,0.11376,0.3347,ok,0.03808,2584,8196,5612
TIA1,2,0.1254,0.3035,ok,0.03806,2585,6103,3518
FUBP1,2,0.15609,0.2437,ok,0.03804,2586,4402,1816
DPY19L4,2,0.12467,0.3051,ok,0.03803,2587,6175,3588
SCML4,2,0.11938,0.3186,ok,0.03803,2588,6922,4334
EIF2AK2,2,0.11251,0.3379,ok,0.03801,2589,8520,5931
LGALSL,2,0.10983,0.346,ok,0.038,2590,9289,6699
SPSB2,2,0.11687,0.3251,ok,0.03799,2591,7433,4842
NATD1,2,0.12106,0.3136,ok,0.03797,2592,6638,4046
NPIPB4,2,0.116,0.3271,ok,0.03794,2593,7619,5026
SPATA2,2,0.12171,0.3114,ok,0.0379,2594,6541,3947
TSPAN32,2,0.11514,0.329,ok,0.03788,2595,7851,5256
ANGPTL6,2,0.11547,0.3277,ok,0.03784,2596,7749,5153
B4GAT1,2,0.11558,0.3274,ok,0.03784,2597,7722,5125
NUPR1,2,0.23874,0.1585,ok,0.03783,2598,2725,127
MRM2,2,0.11933,0.3169,ok,0.03781,2599,6936,4337
ARID5A,2,0.12174,0.3105,ok,0.0378,2600,6530,3930
NUDCD1,2,0.13433,0.2814,ok,0.0378,2601,5377,2776
RALGAPA2,2,0.11691,0.3234,ok,0.0378,2602,7425,4823
TNFAIP8L2,2,0.1246,0.3032,ok,0.03778,2603,6187,3584
RIDA,2,0.33893,0.1115,ok,0.03777,2604,1924,-680
NCLN,2,0.11862,0.3179,ok,0.03771,2605,7068,4463
FAF1,2,0.11541,0.3267,ok,0.0377,2606,7770,5164
HAND2,2,0.11903,0.3165,ok,0.03767,2607,6987,4380
IFT70B,2,0.11575,0.3253,ok,0.03766,2608,7682,5074
H2BC26,2,0.11685,0.322,ok,0.03762,2609,7434,4825
DDX43,2,0.11853,0.3172,ok,0.0376,2610,7096,4486
GNB1L,2,0.22522,0.1669,ok,0.0376,2611,2912,301
AHSA1,2,0.1167,0.322,ok,0.03758,2612,7476,4864
FNBP4,2,0.16231,0.2315,ok,0.03758,2613,4194,1581
SUDS3,2,0.60638,0.062,ok,0.03757,2614,973,-1641
GRAMD2B,2,0.11323,0.3315,ok,0.03754,2615,8343,5728
TOP2B,2,0.11598,0.3236,ok,0.03754,2616,7629,5013
SS18,2,0.21369,0.1756,ok,0.03752,2617,3084,467
BCL3,2,0.211,0.1778,ok,0.03751,2618,3118,500
OSBP2,2,0.11957,0.3137,ok,0.03751,2619,6885,4266
MMRN1,2,0.11202,0.3348,ok,0.0375,2620,8650,6030
PDCD1,2,0.62476,0.06,ok,0.0375,2621,927,-1694
PUM1,2,0.11414,0.3285,ok,0.0375,2622,8105,5483
ACOX3,2,0.21999,0.1704,ok,0.03749,2623,2983,360
BAIAP3,2,0.12033,0.3116,ok,0.03749,2624,6748,4124
NR3C2,2,0.11706,0.3199,ok,0.03745,2625,7397,4772
BAIAP2,2,0.11795,0.3174,ok,0.03744,2626,7213,4587
CEP120,2,0.2326,0.1609,ok,0.03743,2627,2806,179
EED,2,0.23187,0.1614,ok,0.03743,2628,2824,196
SUN2,2,0.1184,0.3161,ok,0.03743,2629,7119,4490
SGSH,2,0.11818,0.3167,ok,0.03742,2630,7166,4536
CRB3,2,0.12096,0.3093,ok,0.03741,2631,6656,4025
GLA,2,0.12046,0.3105,ok,0.0374,2632,6730,4098
EGR4,2,0.11472,0.3259,ok,0.03739,2633,7964,5331
TMEM50A,2,0.1214,0.3071,ok,0.03728,2634,6584,3950
ARHGEF40,2,0.11591,0.3215,ok,0.03727,2635,7645,5010
MFAP3L,2,0.11486,0.3241,ok,0.03723,2636,7918,5282
CLSTN1,2,0.1174,0.3167,ok,0.03718,2637,7312,4675
RNF144B,2,0.11675,0.3185,ok,0.03718,2638,7464,4826
PRKAR2A,2,0.11862,0.3132,ok,0.03716,2639,7070,4431
WNT7A,2,0.21226,0.175,ok,0.03715,2640,3099,459
SLC1A6,2,0.11317,0.3281,ok,0.03713,2641,8365,5724
CHST14,2,0.28625,0.1296,ok,0.03709,2642,2252,-390
CCDC15,2,0.11862,0.3126,ok,0.03708,2643,7067,4424
DEGS1,2,0.11354,0.3266,ok,0.03708,2644,8256,5612
PSD,2,0.12826,0.2891,ok,0.03708,2645,5827,3182
TPRA1,2,0.12134,0.3053,ok,0.03705,2646,6596,3950
MCM9,2,0.20634,0.1795,ok,0.03704,2647,3189,542
RABGEF1,2,0.21142,0.175,ok,0.037,2648,3111,463
TMEM177,2,0.11676,0.3168,ok,0.03699,2649,7459,4810
DPH5,2,0.12792,0.289,ok,0.03696,2650,5853,3203
ADCK2,2,0.11908,0.3103,ok,0.03695,2651,6977,4326
ARHGAP17,2,0.11644,0.3172,ok,0.03694,2652,7517,4865
CCSAP,2,0.24361,0.1516,ok,0.03694,2653,2662,9
EPSTI1,2,0.11617,0.3177,ok,0.03691,2654,7580,4926
OSTF1,2,0.1228,0.3005,ok,0.0369,2655,6397,3742
TOR3A,2,0.11171,0.3302,ok,0.03689,2656,8735,6079
CBX5,2,0.11086,0.3323,ok,0.03684,2657,8973,6316
TOP1MT,2,0.11182,0.3295,ok,0.03684,2658,8705,6047
TBC1D5,2,0.11864,0.3105,ok,0.03683,2659,7064,4405
PLD6,2,0.11156,0.33,ok,0.03682,2660,8777,6117
CCDC107,2,0.11817,0.3114,ok,0.0368,2661,7168,4507
LY86,2,0.11837,0.3109,ok,0.0368,2662,7127,4465
WNT2B,2,0.22171,0.166,ok,0.0368,2663,2962,299
PPP1R15B,2,0.18283,0.2012,ok,0.03678,2664,3651,987
KLHL5,2,0.21621,0.1699,ok,0.03673,2665,3042,377
ACOT4,2,0.1151,0.3189,ok,0.03671,2666,7859,5193
MYO9A,2,0.13044,0.2814,ok,0.03671,2667,5639,2972
PLAAT3,2,0.1153,0.318,ok,0.03667,2668,7808,5140
BRD9,2,0.18709,0.1959,ok,0.03665,2669,3570,901
LZTR1,2,0.22362,0.1639,ok,0.03664,2670,2941,271
FARP2,2,0.11642,0.3146,ok,0.03663,2671,7528,4857
UBL3,2,0.12311,0.2975,ok,0.03662,2672,6351,3679
KISS1R,2,0.12181,0.3003,ok,0.03658,2673,6522,3849
ZNF850,2,0.21318,0.1716,ok,0.03658,2674,3091,417
APEX1,2,0.12195,0.2998,ok,0.03656,2675,6507,3832
CCL3,2,0.12429,0.2941,ok,0.03656,2676,6219,3543
CSNK2B,2,0.22225,0.1645,ok,0.03656,2677,2952,275
DDX27,2,0.74625,0.049,ok,0.03656,2678,695,-1983
MRPL39,2,0.1198,0.305,ok,0.03654,2679,6838,4159
TRPC4AP,2,0.11783,0.3101,ok,0.03654,2680,7237,4557
PRKACA,2,0.11555,0.316,ok,0.03652,2681,7727,5046
MFSD11,2,0.11401,0.3202,ok,0.0365,2682,8139,5457
ASAP3,2,0.11889,0.3069,ok,0.03649,2683,7014,4331
SCOC,2,0.12479,0.2924,ok,0.03648,2684,6159,3475
ZNF691,2,0.12101,0.3009,ok,0.03642,2685,6645,3960
DBX2,2,0.11375,0.32,ok,0.0364,2686,8199,5513
SRC,2,0.12218,0.2978,ok,0.03639,2687,6473,3786
CD6,2,0.11804,0.3082,ok,0.03638,2688,7195,4507
NANOGNB,2,0.11802,0.3082,ok,0.03637,2689,7200,4511
CYTH4,2,0.23186,0.1568,ok,0.03635,2690,2825,135
RTL8C,2,0.12093,0.3005,ok,0.03634,2691,6660,3969
ACTB,2,0.12047,0.3015,ok,0.03633,2692,6727,4035
GNG8,2,0.11445,0.3173,ok,0.03632,2693,8029,5336
CIRBP,2,0.11688,0.3102,ok,0.03626,2694,7429,4735
SPINK1,2,0.11824,0.3067,ok,0.03626,2695,7152,4457
GLRX,2,0.1151,0.3149,ok,0.03624,2696,7861,5165
HOXA1,2,0.11845,0.3056,ok,0.0362,2697,7111,4414
MED23,2,0.12338,0.2934,ok,0.0362,2698,6325,3627
NCOR1,2,0.16308,0.222,ok,0.0362,2699,4166,1467
TRIP12,2,0.148,0.2446,ok,0.0362,2700,4704,2004
WDR73,2,0.22474,0.161,ok,0.03619,2701,2923,222
ANK3,2,0.1133,0.3192,ok,0.03617,2702,8322,5620
UFM1,2,0.12344,0.293,ok,0.03617,2703,6317,3614
ZC3HAV1,2,0.11496,0.3146,ok,0.03617,2704,7896,5192
MSX1,2,0.12022,0.3008,ok,0.03616,2705,6770,4065
EEF1AKMT2,2,0.11875,0.304,ok,0.0361,2706,7040,4334
OXA1L,2,0.13016,0.2774,ok,0.0361,2707,5666,2959
MNT,2,0.2485,0.1452,ok,0.03607,2708,2606,-102
FBXL5,2,0.22514,0.1602,ok,0.03606,2709,2913,204
GLMP,2,0.22727,0.1586,ok,0.03605,2710,2886,176
SRGN,2,0.11828,0.3047,ok,0.03604,2711,7143,4432
FBXO45,2,0.11499,0.3131,ok,0.036,2712,7888,5176
ATP5ME,2,0.13662,0.2635,ok,0.03599,2713,5259,2546
IP6K2,2,0.21974,0.1637,ok,0.03597,2714,2987,273
PAPOLA,2,0.25118,0.1432,ok,0.03596,2715,2577,-138
FBXO22,2,0.11409,0.3151,ok,0.03595,2716,8113,5397
TERB1,2,0.11345,0.3169,ok,0.03595,2717,8279,5562
RSBN1,2,0.31494,0.1141,ok,0.03594,2718,2070,-648
RALGPS2,2,0.11463,0.3135,ok,0.03593,2719,7992,5273
SORBS3,2,0.20206,0.1777,ok,0.0359,2720,3266,546
TMBIM4,2,0.39098,0.0918,ok,0.03588,2721,1657,-1064
LPAR3,2,0.11551,0.3104,ok,0.03585,2722,7738,5016
NIPSNAP1,2,0.11479,0.3122,ok,0.03584,2723,7943,5220
GP1BA,2,0.11977,0.2987,ok,0.03578,2724,6845,4121
HAPSTR1,2,0.12595,0.2838,ok,0.03574,2725,6043,3318
G3BP2,2,0.11541,0.3096,ok,0.03573,2726,7771,5045
B4GALT4,2,0.11561,0.309,ok,0.03572,2727,7715,4988
PATL2,2,0.1186,0.3011,ok,0.03571,2728,7075,4347
MELK,2,0.11858,0.301,ok,0.03569,2729,7080,4351
RBM12B,2,0.11607,0.3075,ok,0.03569,2730,7602,4872
ZNF483,2,0.11967,0.2982,ok,0.03569,2731,6864,4133
HLA-DPA1,2,0.11595,0.3076,ok,0.03567,2732,7637,4905
HLA-DRA,2,0.11502,0.3101,ok,0.03567,2733,7878,5145
RNF126,2,0.11864,0.3004,ok,0.03564,2734,7062,4328
TCF7L1,2,0.1157,0.308,ok,0.03564,2735,7695,4960
TEF,2,0.11548,0.3086,ok,0.03564,2736,7746,5010
AKNA,2,0.11445,0.3111,ok,0.0356,2737,8028,5291
ATP6V1H,2,1.10781,0.0321,ok,0.03559,2738,254,-2484
BTG2,2,0.11406,0.3119,ok,0.03558,2739,8121,5382
EML4,2,0.11822,0.3008,ok,0.03556,2740,7155,4415
ETHE1,2,0.11748,0.3027,ok,0.03556,2741,7288,4547
