gene,s2_T,s2_TG,s2_TD,s2_res_raw,s2_me,s2_res_bio,share_T,share_TG,share_TD,share_res
ENSG00000145990,0.0335234919454387,0.0670875517580505,0.0649109408840406,0.766872972137193,0.660954,0.105918,0.1235,0.24715,0.23914,0.39021
ENSG00000145996,0.0154251864097612,0.0242660177725064,0.0268111337336806,0.435395985204183,0.290572,0.144824,0.07299,0.11483,0.12687,0.68531
ENSG00000146005,0.0,8.1171168879812e-06,0.0,0.00370470557188857,0.003013,0.000692,0.0,0.0116,0.0,0.9884
ENSG00000146006,0.0,0.00143183082831486,0.0034351932795743,0.076538095343659,0.077344,0.0,0.0,0.29419,0.70581,0.0
ENSG00000146007,0.00700887816611624,0.00972736012594847,0.0105112158831949,0.322735181325689,0.143636,0.1791,0.03397,0.04714,0.05094,0.86795
ENSG00000146013,0.000261694238808148,0.00112601031228249,0.00149164880675473,0.128082661132876,0.129695,0.0,0.09089,0.39106,0.51805,0.0
ENSG00000146021,0.00812874845132962,0.0291614089145388,0.0236978359225401,0.613763367559783,0.576749,0.037014,0.08294,0.29756,0.24181,0.37769
ENSG00000146038,0.0,2.26495085885068e-06,0.0,0.00257248595480143,0.002067,0.000505,0.0,0.00446,0.0,0.99554
ENSG00000146039,0.0,0.0,0.0,0.00123438068310547,0.00129,0.0,0.0,0.0,0.0,0.0
ENSG00000146047,1.89085302073265e-05,2.55149908557038e-05,1.15413321570264e-12,0.0115312390186415,0.007086,0.004445,0.00421,0.00568,0.0,0.9901
ENSG00000146049,1.53313463468383e-07,1.0451662048864e-13,3.47104701890619e-06,0.000492108965422403,0.000137,0.000355,0.00043,0.0,0.00968,0.98989
ENSG00000146054,0.00169463080908919,0.00327514736291975,0.00431650188735311,0.22280206639036,0.217379,0.005423,0.1152,0.22265,0.29344,0.3687
ENSG00000146063,0.0604299658165746,0.0735132315057195,0.0661046137123026,0.702481899193399,0.53586,0.166622,0.16481,0.20049,0.18028,0.45442
ENSG00000146066,0.0107527434497422,0.0163334716747771,0.0166057924804967,0.315262243302197,0.177487,0.137775,0.05925,0.09001,0.09151,0.75923
ENSG00000146067,0.0353735002878802,0.0560663809244169,0.0490251485678773,0.623997645148449,0.468185,0.155813,0.11939,0.18924,0.16547,0.5259
ENSG00000146070,0.0,8.87963172716259e-14,0.0,0.000321418211761035,0.000573,0.0,0.0,1.0,0.0,0.0
ENSG00000146072,0.00972670928318184,0.0181588422792115,0.0125737845595859,0.481412946268642,0.41694,0.064473,0.09269,0.17305,0.11983,0.61443
ENSG00000146083,0.0193371072156538,0.0262767015202814,0.0253950478951977,0.486157447547462,0.269295,0.216862,0.06717,0.09128,0.08822,0.75333
ENSG00000146085,0.0531278260735604,0.0658296010869667,0.0605444524994901,0.70433192696271,0.503832,0.2005,0.13981,0.17324,0.15933,0.52763
ENSG00000146090,4.00889508362695e-06,2.34126041771533e-14,0.0,0.00480896654224253,0.004372,0.000437,0.0091,0.0,0.0,0.9909
ENSG00000146094,0.000335053152022092,0.00157746098912868,0.00198346357929368,0.152534790178624,0.14821,0.004325,0.04076,0.19188,0.24126,0.5261
ENSG00000146109,0.0481532814205531,0.0851990319703603,0.0663310482889639,0.748799092102961,0.6059,0.1429,0.14056,0.2487,0.19362,0.41712
ENSG00000146112,0.00396797707974485,0.00803366572203099,0.0105881219067281,0.238278522052231,0.127158,0.11112,0.02968,0.06008,0.07919,0.83105
ENSG00000146122,1.68198032550637e-08,9.69013410889104e-08,0.0,0.000324499052453546,0.000698,0.0,0.1479,0.8521,0.0,0.0
ENSG00000146143,0.0554450465295192,0.0629039016890998,0.0561297471059674,0.63617567759644,0.443363,0.192812,0.15096,0.17126,0.15282,0.52496
ENSG00000146147,0.0,6.56309425381297e-07,5.27821843347665e-14,0.000357230466920042,0.000541,0.0,0.0,1.0,0.0,0.0
ENSG00000146151,0.0,9.0767623923293e-07,0.0,0.000413746808258104,0.000331,8.2e-05,0.0,0.01089,0.0,0.98911
ENSG00000146166,0.0,0.00010162964217454,0.000349540292217918,0.00993973642911119,0.010242,0.0,0.0,0.22526,0.77474,0.0
ENSG00000146192,1.97631898822121e-09,0.0148057527397135,0.0244036364482096,0.356058880908176,0.361612,0.0,0.0,0.37761,0.62239,0.0
ENSG00000146197,3.27104111302313e-08,6.76254498804536e-07,4.29766981431176e-13,0.00105835993732464,0.002468,0.0,0.04614,0.95386,0.0,0.0
ENSG00000146215,2.27173816513913e-05,0.000439307671260679,0.000321431013162298,0.0691500879826793,0.074861,0.0,0.029,0.56073,0.41027,0.0
ENSG00000146216,0.00101765329718221,0.00887367392516521,0.0121094406974091,0.277474035546437,0.275595,0.001879,0.04262,0.3716,0.5071,0.07868
ENSG00000146221,0.0,0.000194020523087831,0.0,0.0505601435865808,0.048291,0.002269,0.0,0.07878,0.0,0.92122
ENSG00000146232,0.0533151892611142,0.0701204364575688,0.0543250148779223,0.728999493742052,0.566825,0.162175,0.15684,0.20628,0.15981,0.47707
ENSG00000146233,6.02066106977311e-14,2.86400273556162e-08,0.0,0.000376890935157932,0.000268,0.000109,0.0,0.00026,0.0,0.99974
